run_id,state_id,gp,branch_id,branch_label,se_raw,se_low_distance,se_high_distance,kabs,k_lower_distance,k_upper_distance,sn_use_branch,sn_branch_distance,sn_switch,pc2_branch,pc_branch_distance,pc_switch
run1,I0,1,0,SMOOTH,.7329106836025231,.7329096836025231,.2670883163974769,.6000000000000000E-11,.5999999990000001E-11,.9994000000000000E-08,0,.1000000000000000E+100,0,0,.2007492499999999,0
run1,I0,2,0,SMOOTH,.7321408832436035,.7321398832436035,.2678581167563965,.6000000000000000E-11,.5999999990000001E-11,.9994000000000000E-08,0,.1000000000000000E+100,0,0,.2007492499999999,0
run1,I0,3,0,SMOOTH,.7317559830641439,.7317549830641439,.2682430169358561,.6000000000000000E-11,.5999999990000001E-11,.9994000000000000E-08,0,.1000000000000000E+100,0,0,.2007492499999999,0
run1,I0,4,0,SMOOTH,.7325257834230632,.7325247834230632,.2674732165769368,.6000000000000000E-11,.5999999990000001E-11,.9994000000000000E-08,0,.1000000000000000E+100,0,0,.2007492499999999,0
run1,I1,1,0,SMOOTH,.6652578342306322,.6652568342306322,.3347411657693677,.6000000000000000E-11,.5999999990000001E-11,.9994000000000000E-08,0,.1000000000000000E+100,0,0,.2524992500000000,0
run1,I1,2,0,SMOOTH,.6614088324360344,.6614078324360344,.3385901675639655,.6000000000000000E-11,.5999999990000001E-11,.9994000000000000E-08,0,.1000000000000000E+100,0,0,.2524992500000000,0
run1,I1,3,0,SMOOTH,.6614088324360344,.6614078324360344,.3385901675639655,.6000000000000000E-11,.5999999990000001E-11,.9994000000000000E-08,0,.1000000000000000E+100,0,0,.2524992500000000,0
run1,I1,4,0,SMOOTH,.6652578342306322,.6652568342306322,.3347411657693677,.6000000000000000E-11,.5999999990000001E-11,.9994000000000000E-08,0,.1000000000000000E+100,0,0,.2524992500000000,0
run1,I2,1,0,SMOOTH,.6882506953802269,.6882496953802268,.3117483046197731,.6295508183181782E-11,.6295508173181782E-11,.9993704491816818E-08,0,.1000000000000000E+100,0,0,.2799992500000000,0
run1,I2,2,0,SMOOTH,.5958746523098866,.5958736523098865,.4041243476901134,.6295508183181782E-11,.6295508173181782E-11,.9993704491816818E-08,0,.1000000000000000E+100,0,0,.2799992500000000,0
run1,I2,3,0,SMOOTH,.5650826379531065,.5650816379531065,.4349163620468934,.6295508183181782E-11,.6295508173181782E-11,.9993704491816818E-08,0,.1000000000000000E+100,0,0,.2799992500000000,0
run1,I2,4,0,SMOOTH,.6574586810234468,.6574576810234468,.3425403189765531,.6295508183181782E-11,.6295508173181782E-11,.9993704491816818E-08,0,.1000000000000000E+100,0,0,.2799992500000000,0
run1,LIMITER_OFF,1,0,SMOOTH,.6666666666666666,.6666656666666666,.3333323333333333,.6295508183181782E-11,.6295508173181782E-11,.9993704491816818E-08,0,.1000000000000000E+100,0,0,.2499992500000000,0
run1,LIMITER_OFF,2,0,SMOOTH,.6666666666666666,.6666656666666666,.3333323333333333,.6295508183181782E-11,.6295508173181782E-11,.9993704491816818E-08,0,.1000000000000000E+100,0,0,.2499992500000000,0
run1,LIMITER_OFF,3,0,SMOOTH,.6666666666666666,.6666656666666666,.3333323333333333,.6295508183181782E-11,.6295508173181782E-11,.9993704491816818E-08,0,.1000000000000000E+100,0,0,.2499992500000000,0
run1,LIMITER_OFF,4,0,SMOOTH,.6666666666666666,.6666656666666666,.3333323333333333,.6295508183181782E-11,.6295508173181782E-11,.9993704491816818E-08,0,.1000000000000000E+100,0,0,.2499992500000000,0
run1,LIMITER_INACT,1,0,SMOOTH,.7333333333333334,.7333323333333334,.2666656666666666,.6295508183181782E-11,.6295508173181782E-11,.9993704491816818E-08,1,.4500000000000000E-01,0,0,.1999992499999999,0
run1,LIMITER_INACT,2,0,SMOOTH,.7333333333333334,.7333323333333334,.2666656666666666,.6295508183181782E-11,.6295508173181782E-11,.9993704491816818E-08,1,.4500000000000000E-01,0,0,.1999992499999999,0
run1,LIMITER_INACT,3,0,SMOOTH,.7333333333333334,.7333323333333334,.2666656666666666,.6295508183181782E-11,.6295508173181782E-11,.9993704491816818E-08,1,.4500000000000000E-01,0,0,.1999992499999999,0
