run_id,state_id,direction_id,row,row_field,row_field_component,row_scale,oracle_component,jphys_d_component,scaled_oracle,scaled_jphys_d,scaled_absolute_error,finite
run1,FINAL_CLIP_LOW,M1,1,u,1,2643441.510026210,.000000000000000,.000000000000000,.000000000000000,.000000000000000,.000000000000000,1
run1,FINAL_CLIP_LOW,M1,2,u,2,2643441.510026210,.2910383045673370E-10,.000000000000000,.1100982576930372E-16,.000000000000000,.1100982576930372E-16,1
run1,FINAL_CLIP_LOW,M1,3,p_w,1,.6268490015705751E-01,-.1345214587253227E-01,-.1345214587253227E-01,-.2145994623717644,-.2145994623717644,.000000000000000,1
run1,FINAL_CLIP_LOW,M1,4,S_n,1,.3444997594554601E-10,-.8480997803727239E-11,-.8480997803727241E-11,-.2461829818729884,-.2461829818729884,.5551115123125783E-16,1
run1,FINAL_CLIP_LOW,M1,5,u,3,2643441.510026210,.000000000000000,.000000000000000,.000000000000000,.000000000000000,.000000000000000,1
run1,FINAL_CLIP_LOW,M1,6,u,4,2643441.510026210,.7275957614183426E-11,.5820766091346741E-10,.2752456442325930E-17,.2201965153860744E-16,.1926719509628151E-16,1
run1,FINAL_CLIP_LOW,M1,7,p_w,2,.6268490029937314E-01,.1345214587253227E-01,.1345214587253227E-01,.2145994618845520,.2145994618845520,.5551115123125783E-16,1
run1,FINAL_CLIP_LOW,M1,8,S_n,2,.3444997606770159E-10,.8480997803727237E-11,.8480997803727241E-11,.2461829810000523,.2461829810000524,.1110223024625157E-15,1
run1,FINAL_CLIP_LOW,M1,9,u,5,2643441.510026210,-.2910383045673370E-10,-.5820766091346741E-10,-.1100982576930372E-16,-.2201965153860744E-16,.1100982576930372E-16,1
run1,FINAL_CLIP_LOW,M1,10,u,6,2643441.510026210,-.7275957614183426E-11,.000000000000000,-.2752456442325930E-17,.000000000000000,.2752456442325930E-17,1
run1,FINAL_CLIP_LOW,M1,11,p_w,3,.6268490015918111E-01,-.1345214587253227E-01,-.1345214587253227E-01,-.2145994623644943,-.2145994623644943,.5551115123125783E-16,1
run1,FINAL_CLIP_LOW,M1,12,S_n,3,.3444997594554600E-10,-.8480997803727239E-11,-.8480997803727239E-11,-.2461829818729884,-.2461829818729884,.000000000000000,1
run1,FINAL_CLIP_LOW,M1,13,u,7,2643441.510026210,.2910383045673370E-10,.000000000000000,.1100982576930372E-16,.000000000000000,.1100982576930372E-16,1
run1,FINAL_CLIP_LOW,M1,14,u,8,2643441.510026210,-.2910383045673370E-10,.1164153218269348E-09,-.1100982576930372E-16,.4403930307721488E-16,.5504912884651860E-16,1
run1,FINAL_CLIP_LOW,M1,15,p_w,4,.6268490029087870E-01,.1345214587253227E-01,.1345214587253227E-01,.2145994619136324,.2145994619136324,.5551115123125783E-16,1
run1,FINAL_CLIP_LOW,M1,16,S_n,4,.3444997606770159E-10,.8480997803727239E-11,.8480997803727239E-11,.2461829810000524,.2461829810000524,.000000000000000,1
run1,FINAL_CLIP_LOW,M2,1,u,1,2643441.510026210,-1304218.850701754,-1304218.850701754,-.4933791217831117,-.4933791217831117,.000000000000000,1
run1,FINAL_CLIP_LOW,M2,2,u,2,2643441.510026210,-1440772.887160854,-1440772.887160854,-.5450367945332631,-.5450367945332631,.000000000000000,1
run1,FINAL_CLIP_LOW,M2,3,p_w,1,.6268490015705751E-01,-.1231618251283628E-01,-.1231618251283628E-01,-.1964776602017071,-.1964776602017071,.2775557561562891E-16,1
run1,FINAL_CLIP_LOW,M2,4,S_n,1,.3444997594554601E-10,-.5539931320518495E-12,-.5539931320518508E-12,-.1608108908196421E-01,-.1608108908196424E-01,.3816391647148976E-16,1
run1,FINAL_CLIP_LOW,M2,5,u,3,2643441.510026210,1304218.850701754,1304218.850701754,.4933791217831117,.4933791217831117,.000000000000000,1
run1,FINAL_CLIP_LOW,M2,6,u,4,2643441.510026210,-1180774.296652057,-1180774.296652057,-.4466806971796209,-.4466806971796209,.000000000000000,1
run1,FINAL_CLIP_LOW,M2,7,p_w,2,.6268490029937314E-01,-.8925614199848631E-02,-.8925614199848629E-02,-.1423885841282560,-.1423885841282559,.2775557561562891E-16,1
run1,FINAL_CLIP_LOW,M2,8,S_n,2,.3444997606770159E-10,.9006227179716321E-12,.9006227179716319E-12,.2614291273241280E-01,.2614291273241279E-01,.6938893903907228E-17,1
run1,FINAL_CLIP_LOW,M2,9,u,5,2643441.510026210,1317328.333111158,1317328.333111158,.4983383699297724,.4983383699297724,.000000000000000,1
run1,FINAL_CLIP_LOW,M2,10,u,6,2643441.510026210,1180774.296652057,1180774.296652057,.4466806971796209,.4466806971796208,.1110223024625157E-15,1
run1,FINAL_CLIP_LOW,M2,11,p_w,3,.6268490015918111E-01,-.9330375279050515E-03,-.9330375279050520E-03,-.1488456590878680E-01,-.1488456590878681E-01,.6938893903907228E-17,1
run1,FINAL_CLIP_LOW,M2,12,S_n,3,.3444997594554600E-10,.5974034949911953E-11,.5974034949911952E-11,.1734118757979664,.1734118757979664,.2775557561562891E-16,1
run1,FINAL_CLIP_LOW,M2,13,u,7,2643441.510026210,-1317328.333111158,-1317328.333111158,-.4983383699297724,-.4983383699297724,.000000000000000,1
run1,FINAL_CLIP_LOW,M2,14,u,8,2643441.510026210,1440772.887160854,1440772.887160854,.5450367945332631,.5450367945332631,.000000000000000,1
run1,FINAL_CLIP_LOW,M2,15,p_w,4,.6268490029087870E-01,-.2151761882295855E-01,-.2151761882295855E-01,-.3432663803102450,-.3432663803102450,.000000000000000,1
run1,FINAL_CLIP_LOW,M2,16,S_n,4,.3444997606770159E-10,-.6320664535831735E-11,-.6320664535831736E-11,-.1834736988905384,-.1834736988905384,.2775557561562891E-16,1
run1,FINAL_CLIP_LOW,M3,1,u,1,2643441.510026210,-1476100.789442977,-1476100.789442978,-.5584011538913685,-.5584011538913687,.2220446049250313E-15,1
run1,FINAL_CLIP_LOW,M3,2,u,2,2643441.510026210,-1445263.321919292,-1445263.321919292,-.5467355023508584,-.5467355023508585,.1110223024625157E-15,1
run1,FINAL_CLIP_LOW,M3,3,p_w,1,.6268490015705751E-01,-.1202847304800889E-01,-.1202847304800889E-01,-.1918878871605675,-.1918878871605675,.2775557561562891E-16,1
run1,FINAL_CLIP_LOW,M3,4,S_n,1,.3444997594554601E-10,-.2467182078795447E-15,-.2467182078817078E-15,-.7161636579065377E-05,-.7161636579128169E-05,.6279139941290854E-16,1
run1,FINAL_CLIP_LOW,M3,5,u,3,2643441.510026210,1503014.781712515,1503014.781712515,.5685825754085295,.5685825754085296,.1110223024625157E-15,1
