run_id,arithmetic,benchmark,state_id,direction_id,point_id,fraction,amplitude,e0,e1,r0,r1,ru0,ru1,rp0,rp1,rs0,rs1,ce,cr,root_floor,residual_floor,root_floor_ratio,residual_floor_ratio,condition_number,linear_solve_relative_residual,branch_target,branch_initial,branch_final,branch_preserving,finite,local_band
run1,binary128,N1,I1,M2,1,.5000000000000000,.3750000000000000,.375000000000000028309710894470169,1.03323642308161188332629862882742,.506323438880698945267916936764216,.976628548180910894203504255772497E-002,.442276632351445774462696765112626,.710427019684337560115068855367526E-005,.224291176531620916061504373372387,.290073707414863522350405050492530E-002,.102216795909000259429063592365843,.932555660902875890897207296976743E-002,7.34745900858035006096333064830098,.380954712668271723948897201458317E-001,.115127446295921997132903152089952E-032,.225315584430448548980758087843290E-032,10332364230816118833262986288.2742,97662854818091089420350425.5772497,1344.73282989638825903577712959597,.151088968889539215879096045223975E-033,0,0,0,1,1,0
run1,binary128,N1,I1,M2,2,.3000000000000000,.2250000000000000,.224999999999999994781366044178969,.870176742299816506184867077634303,.304038421819156303219366483574180,.662311944321836547645088999625996E-002,.265366234773712585066930124315930,.976954865455743894270649956431837E-005,.134216125709977463139821464218178,.168497481076113304404980258372047E-002,.632941939178436797255757768073369E-001,.640519130098053524454453611266694E-002,17.1886763911074873392691693678632,.716482600491517062298173863378522E-001,.120659776067841571551732773655851E-032,.225316250139779887619227443033863E-032,8701767422998165061848670776.34303,66231194432183654764508899.9625996,2644.54735040433050921492026514320,.120816201234063185264840786517831E-033,0,0,0,1,1,0
run1,binary128,N1,I1,M2,3,.2000000000000000,.1500000000000000,.150000000000000033528344850291200,.208183682051398392547228190966661,.202779317906250267965316262026109,.121041969458087560321689346880524E-002,.176910909153129608469327439716097,.683090377293482320534710988004415E-006,.893589421303503847835989854407364E-001,.320212957324236612662098884797070E-003,.428597883158786041342731081559897E-001,.116729560625338740587848209242737E-002,9.25260809117325775465945499249662,.294366690814819570761176783019812E-001,.115619071481468381427200130646854E-032,.225315776443262376844525768707542E-032,2081836820513983925472281909.66661,12104196945808756032168934.6880524,1214.99213939823175552149191739272,.169365800743478829600345242509724E-033,0,0,0,1,1,0
run1,binary128,N1,I1,M2,4,.1500000000000000,.1125000000000000,.112499999999999997390683022089484,.121565506057187619170541406672779,.152118190836421842079283839243246,.554765103632668283361999400978147E-003,.132683214265245370540908914869566,.241052267779198481887382953927292E-006,.669749748745633608045306375763408E-001,.146474103893373695572889342112212E-003,.323953912793262619834655365382654E-001,.535079058636200551008696305288108E-003,9.60517578723457776274210485713945,.239743494639371557096307086135028E-001,.115176101815220123974763796313054E-032,.225315738645268001042914223845469E-032,1215655060571876191705414066.72779,5547651036326682833619994.00978147,1011.98394165532537212907938513741,.153313734485528837436597680178284E-033,0,0,0,1,1,0
run1,binary128,N1,I1,M2,5,.1000000000000000,.7500000000000001E-01,.750000000000000167641724251456001E-001,.781847436366694144788434356650833E-001,.101435072479600635273815465392773,.229871733943873498754082511183309E-003,.884554978493676488403666951752393E-001,.862394552171910804157823827733501E-007,.446205825234440563181988090278303E-001,.601728221244197569178770142086653E-004,.217647063943180329909249094935659E-001,.221856345653448163271282044246603E-003,13.8995099798523341380935371686388,.223413434028570873460475221978123E-001,.115127446295921997132903152089952E-032,.225315722586485323255430123000030E-032,781847436366694144788434356.650833,2298717339438734987540825.11183309,1306.42961958947829208914904094552,.146092607064496981547223121655315E-033,0,0,0,1,1,1
run1,binary128,N1,I1,M2,6,.7500000000000000E-01,.5624999999999999E-01,.562499999999999986953415110447422E-001,.652739767433510234280813360380626E-001,.760850437314331647133595081643004E-001,.135547369249387175753494352831117E-003,.663416315346490139876997785739959E-001,.508162287519641522100971731626353E-007,.334544360784880530790157548036034E-001,.353083532079916191632093929130469E-004,.163866565108724214907933916732547E-001,.130867898744804164818148174837628E-003,20.6298000571578552749831143238753,.234149105980846092095404411894283E-001,.115127446295921997132903152089952E-032,.225315718587654503659272912580452E-032,652739767433510234280813360.380626,1355473692493871757534943.52831117,1793.72895879791505087276343655310,.124288163030708844972116046194428E-033,0,0,0,1,1,1
run1,binary128,N1,I1,M2,7,.5000000000000000E-01,.3750000000000001E-01,.375000000000000083820862125728000E-001,.569885760324472235867198448496528E-001,.507292489582149511506630127082535E-001,.736235431280547390461863838676663E-004,.442277597972919806455143786222142E-001,.304097744453227696244402697609998E-007,.222956343672648007988434106898358E-001,.191641041550463683468491704816003E-004,.109666153091478790799391827017303E-001,.710855983298212725562885489939848E-004,40.5252096230735631006469558119748,.286088136365106610962668987821690E-001,.115127446295921997132903152089952E-032,.225315716293847792480547328373057E-032,569885760324472235867198448.496527,736235431280547390461863.838676663,3150.50897666881940044388396198865,.114152720206868328287779363682794E-033,0,0,0,1,1,1
run1,binary128,N1,I1,M2,8,.3000000000000000E-01,.2250000000000000E-01,.225000000000000008659153851993427E-001,.658811388634971502982539349790382E-001,.304404009778181940481048289721210E-001,.543462566474868347674324378598298E-004,.265366584939337076281888815528319E-001,.315981115136353402069700260828273E-007,.133738702582094923657208377100937E-001,.142340935456504741979706295922166E-004,.660025469078810915221254818449055E-002,.524490723853866386062349030455629E-004,130.135582940241274523191665454295,.586501189938530558374381410476338E-001,.115127446295921997132903152089952E-032,.225315716129807812498405512196491E-032,658811388634971502982539349.790382,543462566474868347674324.378598298,8866.73660204929889526436122466994,.219861855725428921845036095396491E-033,0,0,0,1,1,1
run1,binary128,N1,I1,M2,9,.2000000000000000E-01,.1500000000000000E-01,.150000000000000005772769234662285E-001,.798863400311172647930491333041614,.202945569996226980146058208253568E-001,.730576385498809684580484430738189E-003,.176911065353540301516346156446127E-001,.435217258525412150655049092824777E-005,.891474442557118048666163840108972E-002,.140517102103711714984879296898110E-003,.440694057055868788073721760755069E-002,.716922490691056920447782857611100E-003,3550.50400138298927307453570157529,1.77380746739047283214690009782111,.115127446295921997132903152089952E-032,.225315845560293213716310080799347E-032,7988634003111726479304913330.41614,7305763854988096845804844.30738189,223287.525302350589497679708697103,.198169954800053392483073663857672E-033,0,0,0,1,1,1
run1,binary128,N1,I1,M2,10,.1500000000000000E-01,.1125000000000000E-01,.112500000000000004329576925996713E-001,.407386532844938000307281197599926E-001,.152212774718273053011890199481976E-001,.265156952646095188976096592763616E-004,.132683302289548334248782913772865E-001,.136057864956731830817013556879214E-007,.668562010928800609165387194885819E-002,.736479454792155508539507660004317E-005,.330774614564731222167886709586154E-002,.254723715329985408801226318545117E-004,321.885655581185555714082200725599,.114446051433727401766894631716438,.115200105091309041120306876349820E-032,.225315711017001112932548982946423E-032,407386532844938000307281197.599926,265156952646095188976096.592763616,19454.2049297969713054127814462282,.204089921583540886343277956265688E-033,0,0,0,1,1,1
run1,binary128,N1,I1,M2,11,.1000000000000000E-01,.7500000000000000E-02,.750000000000000028863846173311423E-002,.896111725786476628566795352680692E-002,.101477586149226093035637060028842E-001,.598340194976338521558944269886350E-005,.884555370433614086492868585184449E-002,.112969125332479851972199126037254E-008,.445678801961046454911034746333157E-002,.162957523020722027321461198570380E-005,.220685865399165148070373167796869E-002,.575722000494379552660547841851513E-005,159.308751250929166149839288914381,.581042530337954409752844926026722E-001,.115142408926135797045438024932593E-032,.225315712060357053081606404457892E-032,89611172578647662856679535.2680692,59834019497633852155894.4269886350,9336.28268080196163240894490224738,.127147521156113565552431752187362E-033,0,0,0,1,1,1
run1,binary128,N2,I2,M3,1,.5000000000000000,.5000000000000000,.499999999999999951217452018081491,.451850385722426675292657334391673,.737726517600822268172965129184073,.159532482513018957895143841850712E-002,.653247258863631510775403936425529,.278324070182522139887826857588518E-006,.333068301370797214868200272779699,.474679458256496345435548872973379E-003,.810798383111346154587085292325104E-001,.152306947711576869484682312392684E-002,1.80740154288970705384923929200939,.293128694935339428674201318756786E-002,.169753074603300050011385530569254E-031,.186530761280130637906807932491417E-032,4518503857224266752926573343.91673,15953248251301895789514384.1850712,677.105260582956326476374894937420,.141774650167296436547867309781120E-033,0,0,0,1,1,0
run1,binary128,N2,I2,M3,2,.3000000000000000,.3000000000000000,.299999999999999959628240964597330,.340765833726547990609142788235118,.442688214654303971475189022881967,.854308961284150508606049185967294E-003,.391948504258457904908928562786979,.311005187745239374557055020475828E-006,.200138982203609595649973363279071,.238491146984430221409680518723084E-003,.478916820113467789766928836036115E-001,.820344852739522141440102559358506E-003,3.78628704140608980360648481048580,.435932292544997251426044751361450E-002,.169747306492903223862620626708882E-031,.186530681239501713659987499485073E-032,3407658337265479906091427882.35118,8543089612841505086060491.85967294,874.440888009647485308264085409366,.961341186842631078648475926799166E-034,0,0,0,1,1,0
run1,binary128,N2,I2,M3,3,.2000000000000000,.2000000000000000,.199999999999999991589211053484161,.233685096753459892496167967331198,.295143859686364974874829015357803,.437922227557434548919866525925254E-003,.261299052194767899589242094001917,.189407396120090425248475869356780E-006,.133525792533617615210170450972937,.112425678796257886817247743243234E-003,.316791092196413162469882456330450E-001,.423244974289009641214592087603731E-003,5.84212741883649780377320636815117,.502723844317952417227135974922100E-002,.169747306492903223862620626708882E-031,.186530646090007082035020121849292E-032,2336850967534598924961679673.31198,4379222275574345489198665.25925254,1292.82488088309109809729014981059,.129170778679048889696428180452136E-033,0,0,0,1,1,0
run1,binary128,N2,I2,M3,4,.1500000000000000,.1500000000000000,.149999999999999979814120482298665,.163101342925370703016401585465616,.221364964837620976878577097094326,.259460121570883160131349293974380E-003,.195974307600659368643508677937664,.955859913293551518021682846835153E-007,.100181859250757007213620384532900,.661292217025700457794867618292453E-004,.236667170318324412265304652396348E-001,.250891354147384021358989389234539E-003,7.24894857446092208508099340844084,.529484003297227065450983757251311E-002,.169747306492903223862620626708882E-031,.186530643098235824700191226412699E-032,1631013429253707030164015854.65616,2594601215708831601313492.93974380,1620.34086183047958587212968293638,.162846179999343440163391886919179E-033,0,0,0,1,1,0
