run_id,state_id,direction_id,h,pressure_scale,residual_scale,gradient_norm,scaled_norm_fd,scaled_norm_kd,scaled_absolute_error_l2,scaled_absolute_error_inf,nullspace_flag,classification,diagnostic_explanation
run1,BETA_MIN_NEG,D1,9.99999999999999955E-08,1.00000000000000000E+07,3.26433757646462919E+00,0.00000000000000000E+00,1.90199668818582705E-10,1.57700981196308475E-16,1.90199792827009990E-10,1.32854257989961622E-10,1,INCONCLUSIVE,NONE
run1,BETA_MIN_NEG,D1,2.99999999999999986E-07,1.00000000000000000E+07,3.26433757646462919E+00,0.00000000000000000E+00,4.11118735498062738E-10,1.57700981196308475E-16,4.11118831263216808E-10,2.19652300653977570E-10,1,INCONCLUSIVE,NONE
run1,BETA_MIN_NEG,D1,9.99999999999999955E-07,1.00000000000000000E+07,3.26433757646462919E+00,0.00000000000000000E+00,1.23335620649418790E-10,1.57700981196308475E-16,1.23335524884347412E-10,6.58957208057947216E-11,1,INCONCLUSIVE,NONE
run1,BETA_MIN_NEG,D1,3.00000000000000008E-06,1.00000000000000000E+07,3.26433757646462919E+00,0.00000000000000000E+00,1.34997970841045139E-11,1.57700981196308475E-16,1.34996694499771056E-11,9.21113763211747367E-12,1,NULLSPACE_CONSISTENT,NONE
run1,BETA_MIN_NEG,D1,1.00000000000000008E-05,1.00000000000000000E+07,3.26433757646462919E+00,0.00000000000000000E+00,6.16099678364608017E-12,1.57700981196308475E-16,6.16112806240567568E-12,4.25143556683014366E-12,1,NULLSPACE_CONSISTENT,NONE
run1,BETA_MIN_NEG,D1,3.00000000000000008E-05,1.00000000000000000E+07,3.26433757646462919E+00,0.00000000000000000E+00,1.34997970841045167E-12,1.57700981196308475E-16,1.35010734603278309E-12,9.21224297883652793E-13,1,NULLSPACE_CONSISTENT,NONE
run1,BETA_MIN_NEG,D1,1.00000000000000005E-04,1.00000000000000000E+07,3.26433757646462919E+00,0.00000000000000000E+00,6.16099678364607916E-13,1.57700981196308475E-16,6.15968406422760628E-13,4.25031321477695078E-13,1,NULLSPACE_CONSISTENT,NONE
run1,BETA_MIN_NEG,D1,2.99999999999999974E-04,1.00000000000000000E+07,3.26433757646462919E+00,0.00000000000000000E+00,0.00000000000000000E+00,1.57700981196308475E-16,1.57700981196308475E-16,1.02032004835807452E-16,1,NULLSPACE_CONSISTENT,NONE
run1,BETA_MIN_NEG,D1,1.00000000000000002E-03,1.00000000000000000E+07,3.26433757646462919E+00,0.00000000000000000E+00,4.04993912523135446E-14,1.57700981196308475E-16,4.06271312803520388E-14,2.77356999812003195E-14,1,NULLSPACE_CONSISTENT,NONE
run1,BETA_MIN_NEG,D1,3.00000000000000006E-03,1.00000000000000000E+07,3.26433757646462919E+00,0.00000000000000000E+00,6.33998896061942314E-15,1.57700981196308475E-16,6.21674398833743954E-15,4.34344576141319065E-15,1,NULLSPACE_CONSISTENT,NONE
run1,BETA_MIN_NEG,D1,1.00000000000000002E-02,1.00000000000000000E+07,3.26433757646462919E+00,0.00000000000000000E+00,0.00000000000000000E+00,1.57700981196308475E-16,1.57700981196308475E-16,1.02032004835807452E-16,1,NULLSPACE_CONSISTENT,NONE
run1,BETA_MIN_NEG,D2,9.99999999999999955E-08,1.00000000000000000E+07,3.26433757646462919E+00,8.16496580927726068E+06,1.00000000111802922E+00,1.00000000000000000E+00,1.18475261846482491E-09,8.12766272035728614E-10,0,CONSISTENT_NUMERICALLY,NONE
run1,BETA_MIN_NEG,D2,2.99999999999999986E-07,1.00000000000000000E+07,3.26433757646462919E+00,8.16496580927726068E+06,9.99999999764688230E-01,1.00000000000000000E+00,3.11388148290204570E-10,2.62466789132948243E-10,0,CONSISTENT_NUMERICALLY,NONE
run1,BETA_MIN_NEG,D2,9.99999999999999955E-07,1.00000000000000000E+07,3.26433757646462919E+00,8.16496580927726068E+06,9.99999999967512210E-01,1.00000000000000000E+00,7.06951759775364687E-11,5.98200040085027663E-11,0,CONSISTENT_NUMERICALLY,NONE
run1,BETA_MIN_NEG,D2,3.00000000000000008E-06,1.00000000000000000E+07,3.26433757646462919E+00,8.16496580927726068E+06,1.00000000003048495E+00,1.00000000000000000E+00,3.99792690310306517E-11,3.26462963099380672E-11,0,CONSISTENT_NUMERICALLY,NONE
run1,BETA_MIN_NEG,D2,1.00000000000000008E-05,1.00000000000000000E+07,3.26433757646462919E+00,8.16496580927726068E+06,1.00000000000040679E+00,1.00000000000000000E+00,3.94433105004963792E-12,2.88689354482433541E-12,0,CONSISTENT_NUMERICALLY,NONE
run1,BETA_MIN_NEG,D2,3.00000000000000008E-05,1.00000000000000000E+07,3.26433757646462919E+00,8.16496580927726068E+06,9.99999999995429323E-01,1.00000000000000000E+00,5.24281755362352755E-12,3.98577823690598032E-12,0,CONSISTENT_NUMERICALLY,NONE
run1,BETA_MIN_NEG,D2,1.00000000000000005E-04,1.00000000000000000E+07,3.26433757646462919E+00,8.16496580927726068E+06,1.00000000000123057E+00,1.00000000000000000E+00,1.28338706908240359E-12,8.67816211796820715E-13,0,CONSISTENT_NUMERICALLY,NONE
run1,BETA_MIN_NEG,D2,2.99999999999999974E-04,1.00000000000000000E+07,3.26433757646462919E+00,8.16496580927726068E+06,1.00000000000017586E+00,1.00000000000000000E+00,1.75943140250734802E-13,8.84957588609236346E-14,0,CONSISTENT_NUMERICALLY,NONE
run1,BETA_MIN_NEG,D2,1.00000000000000002E-03,1.00000000000000000E+07,3.26433757646462919E+00,8.16496580927726068E+06,1.00000000000000289E+00,1.00000000000000000E+00,8.10830024451929916E-14,5.58455173134652680E-14,0,CONSISTENT_NUMERICALLY,NONE
run1,BETA_MIN_NEG,D2,3.00000000000000006E-03,1.00000000000000000E+07,3.26433757646462919E+00,8.16496580927726068E+06,9.99999999999966804E-01,1.00000000000000000E+00,3.55973273282743520E-14,2.56440438820662691E-14,0,CONSISTENT_NUMERICALLY,NONE
run1,BETA_MIN_NEG,D2,1.00000000000000002E-02,1.00000000000000000E+07,3.26433757646462919E+00,8.16496580927726068E+06,1.00000000000000000E+00,1.00000000000000000E+00,3.96629141288144338E-16,3.40106682786024915E-16,0,CONSISTENT_NUMERICALLY,NONE
run1,BETA_MIN_NEG,D3,9.99999999999999955E-08,1.00000000000000000E+07,3.26433757646462919E+00,3.75850370392915048E+06,5.16517050356496310E-01,5.16517050172766279E-01,1.79774778775231060E-09,1.29104969533864111E-09,0,CONSISTENT_NUMERICALLY,NONE
