benchmark,direction_id,sign,point_id,amplitude,z1_norm,root_linear_norm,operator_variation_norm,nonlinear_norm,linear_solve_norm,root_fraction,operator_fraction,nonlinear_fraction,linear_solve_fraction,decomposition_closure,linear_solve_relative_residual,z1_u_norm,root_u_norm,operator_u_norm,nonlinear_u_norm,residual_u_norm,z1_p_norm,root_p_norm,operator_p_norm,nonlinear_p_norm,residual_p_norm,z1_s_norm,root_s_norm,operator_s_norm,nonlinear_s_norm,residual_s_norm,condition_number,branch_preserving,branch_margin_gate_pass,finite,pass
N1,FIELD_U,-1,11,.1000000000000000E-03,5.71117751324240122E-20,7.45388997525241939E-20,2.60830551070510147E-24,1.74380982859006335E-20,4.44349351919654401E-20,7.09168147370764057E-01,8.68360745362698017E-10,3.88133838380063448E-02,2.52018467922868861E-01,1.55612629071510593E-20,1.14240610830294466E-16,5.71117750625256108E-20,7.45388993583784298E-20,0.00000000000000000E+00,1.74380960343814137E-20,4.04700354331684136E-06,9.47227436633442028E-27,1.98492336364093586E-26,4.16518914895110754E-27,1.32902626569530530E-26,5.07480291578817134E-11,2.82558926654647316E-24,7.66537592995234425E-24,2.60830218501882072E-24,8.86139070373150621E-24,1.12338683239753570E-12,4.59335166506314727E+03,1,1,1,1
N1,FIELD_U,-1,12,.7499999999999999E-04,4.28338313492941426E-20,2.44321658839413664E-20,7.88021201352419965E-24,1.36932245016503514E-20,9.58308396694406461E-21,6.81217274902476189E-01,7.08659347705924122E-08,2.13979994924419076E-01,1.04802659307169935E-01,1.31566498561802821E-20,6.44266724964645855E-17,4.28338312968703416E-20,2.44321657866621153E-20,0.00000000000000000E+00,1.36932241568910554E-20,3.03525265748763060E-06,7.10420576626690464E-27,9.10497745391403706E-27,1.31539702122244638E-26,5.23665818398962347E-27,3.80610218684112786E-11,2.11919194487062878E-24,2.18022995450100440E-24,7.88020103494566706E-24,3.07273581497584906E-24,8.42540124298151623E-13,4.59335166513344757E+03,1,1,1,1
N1,FIELD_U,-1,13,.5000000000000000E-04,2.85558875662250964E-20,3.72694498762620969E-20,2.09090532625987549E-24,8.71904914295031526E-21,2.22174662468647375E-20,7.09168168109007957E-01,2.23209156738022931E-09,3.88133849730282962E-02,2.52018444685872256E-01,7.78062560106357184E-21,1.14240610830294466E-16,2.85558875312758897E-20,3.72694496791892149E-20,0.00000000000000000E+00,8.71904801719070536E-21,2.02350177165842068E-06,4.73613718996051353E-27,9.92461681820467929E-27,3.71199861187802194E-27,6.64513132851425226E-27,2.53740145789408567E-11,1.41279463605694202E-24,3.83268796497617213E-24,2.09090203128894143E-24,4.43069535197387654E-24,5.61693416198767850E-13,4.59335166520374696E+03,1,1,1,1
N1,FIELD_U,-1,14,.3000000000000000E-04,1.71335325397424769E-20,2.16283856604541622E-20,1.66056830707061059E-24,1.04901474896607416E-20,7.57609333132639754E-21,7.36408767693648048E-01,4.34094447117627147E-09,1.73234317470146532E-01,9.03569104952610530E-02,9.31366121932911703E-21,1.92072817767356787E-16,1.71335325187729546E-20,2.16283854819255450E-20,0.00000000000000000E+00,1.04901468444922853E-20,1.21410106299505215E-06,2.84168238445272216E-27,3.75295310454180690E-27,1.89503142989719946E-27,5.56028424377178468E-27,1.52244087473645127E-11,8.47676779309319174E-25,2.77894898145269264E-24,1.66056722577052970E-24,3.67910222143619544E-24,3.37016049719260690E-13,4.59335166525998193E+03,1,1,1,1
N1,FIELD_U,-1,15,.2000000000000000E-04,1.14223550264201020E-20,1.29016214934508933E-20,1.19364642409050271E-24,1.69259287964797772E-21,6.10804262562755037E-21,8.05574942941203687E-01,6.89554757150969020E-09,1.38650798621600870E-02,1.80559970301088807E-01,7.56579497220509371E-21,1.56705584072857589E-16,1.14223550124404190E-20,1.29016214789598864E-20,0.00000000000000000E+00,1.69259282731391259E-21,8.09400708663368208E-07,1.89445480550779389E-27,2.19689594540391072E-27,3.15540960178466672E-27,6.12314006558653745E-28,1.01496058315763424E-11,5.65117853561984299E-25,6.11481936229293495E-25,1.19364225341359685E-24,4.20903972510549881E-25,2.24677366479507110E-13,4.59335166528810532E+03,1,1,1,1
N1,FIELD_U,-1,16,.1000000000000000E-04,5.71117751320753526E-21,6.45081074672544664E-21,9.00009054884982767E-25,8.46296439819004671E-22,3.05402147469593248E-21,8.05574920444073306E-01,1.56809038976551025E-08,1.38650794747894601E-02,1.80559984400233353E-01,3.78289747401604322E-21,1.56705584072973921E-16,5.71117750621769377E-21,6.45081073947994321E-21,0.00000000000000000E+00,8.46296413651972107E-22,4.04700354331684104E-07,9.47227395960594986E-28,1.09844797270195536E-27,1.35834057664638499E-27,3.06157003282216731E-28,5.07480291578817118E-12,2.82558928589357276E-25,3.05740968114646747E-25,9.00008029845199539E-25,2.10451986258865203E-25,1.12338683239753555E-13,4.59335166531622508E+03,1,1,1,1
N1,FIELD_U,-1,17,.7500000000000000E-05,4.28338313489290871E-21,5.40709641511354055E-21,6.99314577555559939E-25,2.62253687240464656E-21,1.89402338741303630E-21,7.36408757985349327E-01,1.23178774896568283E-08,1.73234315184953996E-01,9.03569145118192363E-02,2.32841530658672395E-21,1.92072817767543624E-16,4.28338312965052740E-21,5.40709637048138625E-21,0.00000000000000000E+00,2.62253671111253289E-21,3.03525265748763038E-07,7.10420590172899584E-28,9.38238276135451725E-28,1.05316894045687092E-27,1.39007106094377359E-27,3.80610218684112818E-12,2.11919197835689742E-25,6.94737245363173161E-25,6.99313784518004546E-25,9.19775555366994468E-25,8.42540124298151724E-14,4.59335166532325366E+03,1,1,1,1
N1,FIELD_U,-1,18,.5000000000000000E-05,2.85558875658407086E-21,3.22540537336272332E-21,3.59778945636378897E-25,4.23148219904517910E-22,1.52701055467654436E-21,8.05574959802533797E-01,1.00232563426919962E-08,1.38650801518773771E-02,1.80559950022332522E-01,1.89144870535386549E-21,1.56705584073206635E-16,2.85558875308915011E-21,3.22540536973997161E-21,0.00000000000000000E+00,4.23148206821001628E-22,2.02350177165842052E-07,4.73613784385208129E-28,5.49223986350977680E-28,5.72592835110887266E-28,1.53078501643640209E-28,2.53740145789408559E-12,1.41279463749601012E-25,1.52870484057323374E-25,3.59778489991647050E-25,1.05225993131830266E-25,5.61693416198767774E-14,4.59335166533028132E+03,1,1,1,1
N1,FIELD_U,-1,19,.3000000000000000E-05,1.71335325397468576E-21,1.62654591132545177E-21,3.69147205203859467E-25,4.29268473074150072E-22,2.99471465570147566E-22,9.06167240702320465E-01,4.66739841746361839E-08,6.31151606990281722E-02,3.07175519246672794E-02,3.02154104592279246E-22,1.15776929934382984E-16,1.71335325187773324E-21,1.62654588027674595E-21,0.00000000000000000E+00,4.29268472978015041E-22,1.21410106299505252E-07,2.84168204906945046E-28,4.50587735996522089E-28,6.07074645298879135E-28,5.59991024703702630E-29,1.52244087473645131E-12,8.47676804712890855E-26,3.17811400692189017E-25,3.69146706026473099E-25,9.08473301506880373E-27,3.37016049719260677E-14,4.59335166533591018E+03,1,1,1,1
N1,FIELD_U,-1,20,.2000000000000000E-05,1.14223550265633021E-21,1.64027225888939581E-21,7.85128935296307743E-26,4.19604260391332606E-22,4.49207166462595203E-22,8.76853984024495992E-01,2.00898810854984420E-09,5.73819335009960393E-02,6.57640804655199723E-02,3.76075780874309791E-22,4.53377139548045791E-17,1.14223550125836198E-21,1.64027224920244535E-21,0.00000000000000000E+00,4.19604250958312715E-22,8.09400708663368261E-08,1.89445420255062787E-28,3.90189335675072023E-28,1.50778309817467901E-28,1.85755407655523153E-28,1.01496058315763428E-12,5.65117848843863110E-26,1.78264746734078524E-25,7.85127487501006185E-26,8.89732323443044696E-26,2.24677366479507097E-14,4.59335166533871961E+03,1,1,1,1
N1,FIELD_U,-1,21,.1000000000000000E-05,5.71117751322164157E-22,8.20136129444697905E-22,1.59438421599038149E-26,2.09802130195666303E-22,2.24603562885771930E-22,8.76853995942663222E-01,3.31391503565951780E-10,5.73819342809291852E-02,6.57640694450160879E-02,1.88037888162415951E-22,4.53377139548045791E-17,5.71117750623180139E-22,8.20136124601222673E-22,0.00000000000000000E+00,2.09802125479156357E-22,4.04700354331684131E-08,9.47227846519316412E-29,1.95094667837536012E-28,3.22673531040983847E-29,9.28777038277652981E-29,5.07480291578817138E-13,2.82558906182589217E-26,8.91323733670392621E-26,1.59438095083279886E-26,4.44866161721671581E-26,1.12338683239753548E-14,4.59335166534153177E+03,1,1,1,1
N1,FIELD_U,1,1,.1000000000000000E-01,5.71117751324296344E-18,4.58964700493634333E-18,7.51157301468893080E-18,5.66460514805663923E-19,6.77431174237065837E-18,1.70288837580170133E-01,4.56130798806551496E-01,2.59398163418394492E-03,3.70986381979094504E-01,3.84651699692075781E-19,5.21842393029514652E-17,5.71117750625312273E-18,4.58964691090016141E-18,7.51157299368579731E-18,5.66460426827916801E-19,4.04700354331684136E-04,9.47227439550175492E-25,1.79954979620603709E-24,1.22722043332076658E-24,4.55292062083661931E-25,5.07480291578817134E-09,2.82558926295462588E-22,9.29076162142962256E-22,5.61722039743244314E-22,3.15708132249059576E-22,1.12338683239753563E-10,4.59335169346394741E+03,1,1,1,1
N1,FIELD_U,1,2,.7500000000000000E-02,4.28338313493222008E-18,4.88733520890612108E-18,1.98737542940125414E-18,2.31925222975158094E-18,6.20936512137468238E-18,3.32809832401596395E-01,5.50315476429434902E-02,7.49458966425777251E-02,5.37212723312882501E-01,1.76419099662429007E-18,1.38758030541651664E-16,4.28338312968983954E-18,4.88733518481277060E-18,1.98737540962015672E-18,2.31925207249294680E-18,3.03525265748763075E-04,7.10420579785445708E-25,1.21984080396468112E-24,3.50667606434029374E-25,1.26793494389003599E-24,3.80610218684112789E-09,2.11919194770912174E-22,4.85286584238436354E-22,2.80401157186866948E-22,8.54074494937378386E-22,8.42540124298151655E-11,4.59335168643404540E+03,1,1,1,1
N1,FIELD_U,1,3,.5000000000000000E-02,2.85558875662147556E-18,2.29482350246817167E-18,2.33544297108656082E-18,2.83230257402851317E-19,2.41463289151149486E-18,3.16647096441791176E-01,3.27955912889498657E-01,4.82343272970605415E-03,3.50573557939004077E-01,1.21652524371206275E-18,5.21842393029525684E-17,2.85558875312655481E-18,2.29482345545008070E-18,2.33544295323508458E-18,2.83230213413978141E-19,2.02350177165842068E-04,4.73613719885253791E-25,8.99774898103018547E-25,5.50441233255391484E-25,2.27646030868837870E-25,2.53740145789408567E-09,1.41279463217514446E-22,4.64538081071481128E-22,2.88759250795266527E-22,1.57854065534607031E-22,5.61693416198767813E-11,4.59335167940414522E+03,1,1,1,1
N1,FIELD_U,1,4,.3000000000000000E-02,1.71335325397289936E-18,9.45185578452152637E-19,2.16840679428876342E-19,8.89218851291317903E-19,3.75578650257833575E-19,4.77188553385495817E-01,2.51152417594555886E-02,4.22350649559567581E-01,7.53455552954810093E-02,4.44044113863804326E-19,1.28505896938570101E-16,1.71335325187594702E-18,9.45185540846313772E-19,2.16840434497100887E-19,8.89218830150892771E-19,1.21410106299505227E-04,2.84168231928434963E-25,4.42182149727951633E-25,5.59671022998973309E-25,3.10438323736360571E-25,1.52244087473645140E-09,8.47676779467846092E-23,2.66624823186627640E-22,3.25917124408142149E-22,1.93899026783721682E-22,3.37016049719260714E-11,4.59335167378022743E+03,1,1,1,1
N1,FIELD_U,1,5,.2000000000000000E-02,1.14223550264860451E-18,9.07108629501459110E-19,1.53329367931020045E-19,1.78374506961978533E-19,2.16840589073109562E-19,8.89377490552984207E-01,2.54107935272659159E-02,3.43900738179940962E-02,5.08216421017557568E-02,1.99422253224480500E-19,6.03608022197931179E-17,1.14223550125063610E-18,9.07108618400024510E-19,1.53329341668337419E-19,1.78374498554229888E-19,8.09400708663368272E-05,1.89445487956818851E-25,3.31041511737801705E-25,7.13212191762500000E-26,1.27143401535760574E-25,1.01496058315763427E-09,5.65117853012733175E-23,1.41916539578569476E-22,8.97422714647529823E-23,5.47671416777788147E-23,2.24677366479507132E-11,4.59335167096826171E+03,1,1,1,1
