state_id,direction_id,h,norm_fd,norm_kpp_phys_d,absolute_error_l2,relative_error_l2,absolute_error_inf,cosine_similarity,observed_slope,branch_crossed,finite,classification
BETA_MIN_NEG,D1,9.99999999999999955E-08,4.16666666481233031E-02,4.16666666666666574E-02,2.45941207094297199E-11,5.90258897026313458E-10,2.31630166436236416E-11,1.00000000000000000E+00,-0.5539199206647875,0,1,CONSISTENT_NUMERICALLY
BETA_MIN_NEG,D1,2.99999999999999986E-07,4.16666666602302296E-02,4.16666666666666574E-02,1.33827181868052401E-11,3.21185236483325891E-10,1.13271406143589104E-11,1.00000000000000000E+00,-0.9821472703800374,0,1,CONSISTENT_NUMERICALLY
BETA_MIN_NEG,D1,9.99999999999999955E-07,4.16666666687231374E-02,4.16666666666666574E-02,4.10204481074273931E-12,9.84490754529667489E-11,3.45414669089549915E-12,1.00000000000000000E+00,-1.2940370351355603,0,1,CONSISTENT_NUMERICALLY
BETA_MIN_NEG,D1,3.00000000000000008E-06,4.16666666672865782E-02,4.16666666666666574E-02,9.89892027319552665E-13,2.37574086553158010E-11,9.60481694178838552E-13,9.99999999999999889E-01,-0.7122962937485791,0,1,CONSISTENT_NUMERICALLY
BETA_MIN_NEG,D1,1.00000000000000008E-05,4.16666666670602523E-02,4.16666666666666574E-02,4.19897446963773280E-13,1.00775387270353708E-11,2.93695623376777298E-13,9.99999999999999889E-01,-1.352967802119377,0,1,CONSISTENT_NUMERICALLY
BETA_MIN_NEG,D1,3.00000000000000008E-05,4.16666666666053384E-02,4.16666666666666574E-02,9.49759264763904921E-14,2.27942223543337292E-12,9.11944131321007490E-14,1.00000000000000000E+00,-1.0407652049689105,0,1,CONSISTENT_NUMERICALLY
BETA_MIN_NEG,D1,1.00000000000000005E-04,4.16666666666664076E-02,4.16666666666666574E-02,2.71281097786018101E-14,6.51074634686443619E-13,2.07230066440189407E-14,1.00000000000000000E+00,-3.376681987802874,0,1,CONSISTENT_NUMERICALLY
BETA_MIN_NEG,D1,2.99999999999999974E-04,4.16666666666670529E-02,4.16666666666666574E-02,6.64251872604899621E-16,1.59420449425174387E-14,6.03683769639928869E-16,1.00000000000000000E+00,1.0038457027914747,0,1,CONSISTENT_NUMERICALLY
BETA_MIN_NEG,D1,1.00000000000000002E-03,4.16666666666684893E-02,4.16666666666666574E-02,2.22444856885759407E-15,5.33867656525799289E-14,1.82839854367955507E-15,9.99999999999999889E-01,-2.377536732980976,0,1,CONSISTENT_NUMERICALLY
BETA_MIN_NEG,D1,3.00000000000000006E-03,4.16666666666666990E-02,4.16666666666666574E-02,1.63248447482536196E-16,3.91796273958086535E-15,1.31838984174237290E-16,1.00000000000000000E+00,0.8421399819983872,0,1,CONSISTENT_NUMERICALLY
BETA_MIN_NEG,D1,1.00000000000000002E-02,4.16666666666670529E-02,4.16666666666666574E-02,4.49972690800075748E-16,1.07993445792017201E-14,3.12250225675825277E-16,1.00000000000000000E+00,,0,1,CONSISTENT_NUMERICALLY
BETA_MIN_NEG,D2,9.99999999999999955E-08,2.32829872196590112E-02,2.32829872094275116E-02,6.48641724881216453E-11,2.78590422595574616E-09,4.13016565392609891E-11,9.99999999999999778E-01,-1.5737820655566575,0,1,CONSISTENT_NUMERICALLY
BETA_MIN_NEG,D2,2.99999999999999986E-07,2.32829872028538706E-02,2.32829872094275116E-02,1.15111843180824698E-11,4.94403240208863030E-10,1.05825938290227096E-11,1.00000000000000000E+00,-1.160925049069092,0,1,CONSISTENT_NUMERICALLY
BETA_MIN_NEG,D2,9.99999999999999955E-07,2.32829872091422502E-02,2.32829872094275116E-02,2.84509632658714307E-12,1.22196361703756594E-10,2.37879854703137994E-12,9.99999999999999778E-01,-0.582428431884514,0,1,CONSISTENT_NUMERICALLY
BETA_MIN_NEG,D2,3.00000000000000008E-06,2.32829872102625901E-02,2.32829872094275116E-02,1.50040323108521193E-12,6.44420416304601135E-11,1.48818804501793502E-12,1.00000000000000000E+00,-2.0936004186836406,0,1,CONSISTENT_NUMERICALLY
BETA_MIN_NEG,D2,1.00000000000000008E-05,2.32829872095149312E-02,2.32829872094275116E-02,1.20644861911164391E-13,5.18167453452283265E-12,1.04022693236949200E-13,1.00000000000000000E+00,0.13316849286091298,0,1,CONSISTENT_NUMERICALLY
BETA_MIN_NEG,D2,3.00000000000000008E-05,2.32829872093184287E-02,2.32829872094275116E-02,1.39651739318180003E-13,5.99801640837708572E-12,1.12816006536675698E-13,1.00000000000000000E+00,-1.068397592192281,0,1,CONSISTENT_NUMERICALLY
BETA_MIN_NEG,D2,1.00000000000000005E-04,2.32829872094523285E-02,2.32829872094275116E-02,3.85837075027337403E-14,1.65716311037054908E-12,2.27092650240123785E-14,1.00000000000000000E+00,-2.306676969505819,0,1,CONSISTENT_NUMERICALLY
BETA_MIN_NEG,D2,2.99999999999999974E-04,2.32829872094305508E-02,2.32829872094275116E-02,3.06083096796796482E-15,1.31462124702289188E-13,1.74860126378462195E-15,1.00000000000000000E+00,0.024709609147278242,0,1,CONSISTENT_NUMERICALLY
BETA_MIN_NEG,D2,1.00000000000000002E-03,2.32829872094278204E-02,2.32829872094275116E-02,3.15325778125963603E-15,1.35431839260849203E-13,2.28116137090950093E-15,1.00000000000000000E+00,-1.4364850335855608,0,1,CONSISTENT_NUMERICALLY
BETA_MIN_NEG,D2,3.00000000000000006E-03,2.32829872094269183E-02,2.32829872094275116E-02,6.50701689722714400E-16,2.79475173812421710E-14,4.75314232417645144E-16,1.00000000000000000E+00,-1.563669408673755,0,1,CONSISTENT_NUMERICALLY
BETA_MIN_NEG,D2,1.00000000000000002E-02,2.32829872094276087E-02,2.32829872094275116E-02,9.90312899475937202E-17,4.25337561099095416E-15,6.07153216591882483E-17,1.00000000000000000E+00,,0,1,CONSISTENT_NUMERICALLY
BETA_MIN_NEG,D3,9.99999999999999955E-08,4.01924343030504103E-02,4.01924342862153700E-02,6.67557483532552599E-11,1.66090333941750904E-09,5.67640483228881720E-11,9.99999999999999889E-01,-0.9205303570011127,0,1,CONSISTENT_NUMERICALLY
BETA_MIN_NEG,D3,2.99999999999999986E-07,4.01924342912265628E-02,4.01924342862153700E-02,2.42819784743754704E-11,6.04143016032146387E-10,2.13766782053426109E-11,9.99999999999999889E-01,-1.964915611983214,0,1,CONSISTENT_NUMERICALLY
BETA_MIN_NEG,D3,9.99999999999999955E-07,4.01924342878587221E-02,4.01924342862153700E-02,2.27966724907981099E-12,5.67188151071618429E-11,1.81735182458453397E-12,1.00000000000000000E+00,0.04059439958827791,0,1,CONSISTENT_NUMERICALLY
BETA_MIN_NEG,D3,3.00000000000000008E-06,4.01924342875293189E-02,4.01924342862153700E-02,2.38363586217399690E-12,5.93055858503593546E-11,1.64419866610643299E-12,9.99999999999999889E-01,-0.8217921623515583,0,1,CONSISTENT_NUMERICALLY
BETA_MIN_NEG,D3,1.00000000000000008E-05,4.01924342862609307E-02,4.01924342862153700E-02,8.86221447244059738E-13,2.20494593816378688E-11,5.97247945544054915E-13,1.00000000000000000E+00,-1.4773711079406782,0,1,CONSISTENT_NUMERICALLY
BETA_MIN_NEG,D3,3.00000000000000008E-05,4.01924342863484371E-02,4.01924342862153700E-02,1.74846562870453995E-13,4.35023570915786620E-12,1.25996435507147503E-13,9.99999999999999889E-01,-1.2171543562625526,0,1,CONSISTENT_NUMERICALLY
BETA_MIN_NEG,D3,1.00000000000000005E-04,4.01924342862326131E-02,4.01924342862153700E-02,4.03861967554203678E-14,1.00482086921652709E-12,3.95794508278868307E-14,1.00000000000000000E+00,-1.47344750799062,0,1,CONSISTENT_NUMERICALLY
BETA_MIN_NEG,D3,2.99999999999999974E-04,4.01924342862112691E-02,4.01924342862153700E-02,8.00239220919964288E-15,1.99101954169125512E-13,7.04124258898986000E-15,9.99999999999999889E-01,-0.1561687787984697,0,1,CONSISTENT_NUMERICALLY
BETA_MIN_NEG,D3,1.00000000000000002E-03,4.01924342862139128E-02,4.01924342862153700E-02,6.63074761691116972E-15,1.64975019171339189E-13,5.64479019082853029E-15,9.99999999999999889E-01,-1.7208799381319824,0,1,CONSISTENT_NUMERICALLY
BETA_MIN_NEG,D3,3.00000000000000006E-03,4.01924342862154393E-02,4.01924342862153700E-02,1.00113836065921599E-15,2.49086271692324485E-14,6.62664367823140310E-16,1.00000000000000000E+00,-0.40966103663736253,0,1,CONSISTENT_NUMERICALLY
BETA_MIN_NEG,D3,1.00000000000000002E-02,4.01924342862155920E-02,4.01924342862153700E-02,6.11351600826110495E-16,1.52106139297907599E-14,3.92047505570758403E-16,1.00000000000000000E+00,,0,1,CONSISTENT_NUMERICALLY
BETA_MIN_POS,D1,9.99999999999999955E-08,4.16666666471746175E-02,4.16666666666666574E-02,2.55743971312259588E-11,6.13785531149423140E-10,2.39761682729877602E-11,1.00000000000000000E+00,-0.9223106825315918,0,1,CONSISTENT_NUMERICALLY
