run_id,state_id,block_id,direction_id,h,sigma,branch_id_plus,branch_id_minus,norm_fd,norm_kv,absolute_error_l2,relative_error_l2,absolute_error_inf,relative_error_inf,cosine_similarity,observed_slope,rhs_finite,amatrx_finite,candidate_svars_finite,replay_exact,branch_crossed,classification
run1,I0,KPU,D2,.3000000000000000E-05,-1,SMOOTH,SMOOTH,.000000000000000,.4454503923864526E-23,.4454503923864526E-23,1.000000000000000,.3308722450212111E-23,1.000000000000000,.000000000000000,0.0000000000000000e+00,1,1,1,1,0,KNOWN_OMISSION_CONFIRMED
run1,I0,KPU,D2,.1000000000000000E-05,-1,SMOOTH,SMOOTH,.000000000000000,.4454503923864526E-23,.4454503923864526E-23,1.000000000000000,.3308722450212111E-23,1.000000000000000,.000000000000000,0.0000000000000000e+00,1,1,1,1,0,KNOWN_OMISSION_CONFIRMED
run1,I0,KPU,D2,.3000000000000000E-06,-1,SMOOTH,SMOOTH,.000000000000000,.4454503923864526E-23,.4454503923864526E-23,1.000000000000000,.3308722450212111E-23,1.000000000000000,.000000000000000,0.0000000000000000e+00,1,1,1,1,0,KNOWN_OMISSION_CONFIRMED
run1,I0,KPU,D2,.1000000000000000E-06,-1,SMOOTH,SMOOTH,.000000000000000,.4454503923864526E-23,.4454503923864526E-23,1.000000000000000,.3308722450212111E-23,1.000000000000000,.000000000000000,-0.0000000000000000e+00,1,1,1,1,0,KNOWN_OMISSION_CONFIRMED
run1,I0,KPU,D3,.1000000000000000E-01,-1,SMOOTH,SMOOTH,.5988071690734220E-07,.5988071690736757E-07,.6229162241336681E-19,.1040261800968896E-11,.4483649792282431E-19,.1124173203954835E-11,1.000000000000000,-1.7741124120531413e+00,1,1,1,1,0,KNOWN_OMISSION_CONFIRMED
run1,I0,KPU,D3,.3000000000000000E-02,-1,SMOOTH,SMOOTH,.5988071690788256E-07,.5988071690736757E-07,.5273213004228314E-18,.8806195510886009E-11,.3506981099428820E-18,.8792957437276449E-11,1.000000000000000,-5.1941394230461091e-01,1,1,1,1,0,KNOWN_OMISSION_CONFIRMED
run1,I0,KPU,D3,.1000000000000000E-02,-1,SMOOTH,SMOOTH,.5988071690716435E-07,.5988071690736757E-07,.9330367423183532E-18,.1558158937478510E-10,.7938022204752879E-18,.1990278516026494E-10,1.000000000000000,-1.4394513353305169e+00,1,1,1,1,0,KNOWN_OMISSION_CONFIRMED
run1,I0,KPU,D3,.3000000000000000E-03,-1,SMOOTH,SMOOTH,.5988071690548622E-07,.5988071690736757E-07,.5279067977968463E-17,.8815973239156294E-10,.5028966956746790E-17,.1260899079555748E-09,1.000000000000000,-3.2491932128956857e-01,1,1,1,1,0,KNOWN_OMISSION_CONFIRMED
run1,I0,KPU,D3,.1000000000000000E-03,-1,SMOOTH,SMOOTH,.5988071690145648E-07,.5988071690736757E-07,.7543678456495749E-17,.1259784258789927E-09,.5028966956746790E-17,.1260899079602539E-09,.9999999999999998,-1.2299667438104835e+00,1,1,1,1,0,KNOWN_OMISSION_CONFIRMED
run1,I0,KPU,D3,.3000000000000000E-04,-1,SMOOTH,SMOOTH,.5988071691876337E-07,.5988071690736757E-07,.3316703403211316E-16,.5538850524636990E-09,.3167579629675453E-16,.7941985449451482E-09,1.000000000000000,-1.0471876730495184e+00,1,1,1,1,0,KNOWN_OMISSION_CONFIRMED
