run_id,mode_id,null_mode,h,field_reproduction,norm_scaled_fd,norm_scaled_kv,relative_l2,scaled_inf,cosine,interior_scaled_error,balance_scaled_error,assembly_closure,branch_crossed,finite
run1,TX,1,.1000000000000000E-03,.1694065894508600E-15,.7457375571535141E-11,.2762110857538673E-16,.9999996275595923,.4615550636442227E-11,.1005563779924350,.4615550636442227E-11,.2738430685392075E-11,.000000000000000,0,1
run1,TY,1,.1000000000000000E-03,.1694065894508600E-15,.2618926092810183E-11,.2014357995158215E-16,1.000001469026507,.1857482821911062E-11,-.1909887526015730,.1846226312502246E-11,.3703701501742179E-11,.000000000000000,0,1
run1,ROT,1,.1000000000000000E-03,.1694065894508600E-15,.3614560351534292E-11,.5104434309834559E-16,1.000001955087467,.1857489714898913E-11,-.1384370470865307,.1846227754865426E-11,.3523180913960597E-11,.000000000000000,0,1
run1,EXX,0,.1000000000000000E-03,.1694065894508600E-15,.1727728145039789,.1727728145019035,.2457749492389686E-10,.2143243915675441E-11,1.000000000000000,.9231239739749714E-12,.2780543901315733E-11,.000000000000000,0,1
run1,EYY,0,.1000000000000000E-03,.1694065894508600E-15,.1727728145021166,.1727728145018754,.2876777096736246E-10,.1897079715540428E-11,1.000000000000000,.9231124350695330E-12,.8055476396619609E-11,.000000000000000,0,1
run1,GXY,0,.1000000000000000E-03,.8470329472543002E-16,.8876803516819416E-01,.8876803516648830E-01,.7515913542861691E-10,.3692455509730851E-11,.9999999999999998,.3692455509730851E-11,.6953265311522931E-11,.000000000000000,0,1
run1,P_UNIFORM,0,.1000000000000000E-03,.1862645149230957E-15,7.494262795803447,7.494262795806445,.9464138199238660E-12,.3522293567925772E-11,.9999999999999999,.9232278241261413E-12,.4456334425813890E-11,.000000000000000,0,1
run1,P_AFFINE_X,0,.1000000000000000E-03,.1862645149230957E-15,5.736631083592139,5.736631083590716,.1003761376283798E-11,.3503673652406470E-11,.9999999999999996,.1846224870143515E-11,.3492086840606715E-11,.000000000000000,0,1
run1,P_AFFINE_Y,0,.1000000000000000E-03,.1396983861923218E-15,5.736528679472142,5.736528679476887,.1646676015719927E-11,.3715050536409333E-11,1.000000000000000,.1845856800741785E-11,.7091216502885800E-11,.000000000000000,0,1
run1,S_UNIFORM,0,.1000000000000000E-03,.1387778780781446E-15,.4561975989360728E-01,.4561975989359882E-01,.1595450238008134E-09,.5255247768468566E-11,1.000000000000000,.2769337322117965E-11,.9872241026024466E-11,.000000000000000,0,1
run1,S_AFFINE_X,0,.1000000000000000E-03,.1387778780781446E-15,.2594395372418352E-01,.2594395372382392E-01,.1901069346253049E-09,.2769337302398157E-11,1.000000000000000,.2769337302398157E-11,.6282658674995513E-11,.000000000000000,0,1
run1,S_AFFINE_Y,0,.1000000000000000E-03,.1387778780781446E-15,.2488284690534575E-01,.2488284690509301E-01,.2299902482001667E-09,.2854571410520514E-11,.9999999999999998,.1846224871547624E-11,.1667096455007877E-11,.000000000000000,0,1
run1,MIXED_AFFINE,0,.1000000000000000E-03,.1694065894508600E-15,1.450055375111699,1.450055375112863,.1316246228620119E-10,.9729161920546403E-11,1.000000000000000,.3606892562402209E-11,.1092022913068424E-10,.000000000000000,0,1
