run_id,state_id,block_id,direction_id,h,sigma,branch_id_plus,branch_id_minus,norm_fd,norm_kv,absolute_error_l2,relative_error_l2,absolute_error_inf,relative_error_inf,cosine_similarity,rhs_finite,amatrx_finite,candidate_svars_finite,replay_exact,branch_crossed,observed_slope,row_classification,series_classification
run1,BHIGH,KPS,D1,.1000000000000000E-01,-1,BRANCH_8,BRANCH_8,.2436157445678591E-04,.2436157445678995E-04,.1335001415926619E-16,.5479947194277229E-12,.1101312238020041E-16,.6543888738235218E-12,1.000000000000000,1,1,1,1,0,,ACTIVE_BOUND,CONSISTENT_NUMERICALLY
run1,BHIGH,KPS,D1,.3000000000000000E-02,-1,BRANCH_8,BRANCH_8,.2436157445676314E-04,.2436157445678995E-04,.5407401241181269E-16,.2219643582877765E-11,.4798949865963964E-16,.2851488696763389E-11,1.000000000000000,1,1,1,1,0,-1.16185038223200299e+00,ACTIVE_BOUND,CONSISTENT_NUMERICALLY
run1,BHIGH,KPS,D1,.1000000000000000E-02,-1,BRANCH_8,BRANCH_8,.2436157445683646E-04,.2436157445678995E-04,.1624866551160873E-15,.6669792849554087E-11,.1411173830784609E-15,.8385055772683459E-11,1.000000000000000,1,1,1,1,0,-1.00148357979954983e+00,ACTIVE_BOUND,CONSISTENT_NUMERICALLY
run1,BHIGH,KPS,D1,.3000000000000000E-03,-1,BRANCH_8,BRANCH_8,.2436157445695316E-04,.2436157445678995E-04,.3166019066841930E-15,.1299595423291002E-10,.2772711530860117E-15,.1647517855043269E-10,1.000000000000000,1,1,1,1,0,-5.54040167163954766e-01,ACTIVE_BOUND,CONSISTENT_NUMERICALLY
run1,BHIGH,KPS,D1,.1000000000000000E-03,-1,BRANCH_8,BRANCH_8,.2436157445577560E-04,.2436157445678995E-04,.1125935986373923E-14,.4621770191294461E-10,.8069310193994927E-15,.4794704560692388E-10,.9999999999999998,1,1,1,1,0,-1.15484306874983034e+00,ACTIVE_BOUND,CONSISTENT_NUMERICALLY
run1,BHIGH,KPS,D1,.3000000000000000E-04,-1,BRANCH_8,BRANCH_8,.2436157445498068E-04,.2436157445678995E-04,.3076990171179351E-14,.1263050619588237E-09,.2309521728049470E-14,.1372295040874459E-09,1.000000000000000,1,1,1,1,0,-8.35016555856976317e-01,ACTIVE_BOUND,CONSISTENT_NUMERICALLY
run1,BHIGH,KPS,D1,.1000000000000000E-04,-1,BRANCH_8,BRANCH_8,.2436157445634329E-04,.2436157445678995E-04,.1989440671695971E-13,.8166305815843865E-09,.1937452172166062E-13,.1151214979059935E-08,1.000000000000000,1,1,1,1,0,-1.69894942913697533e+00,ACTIVE_BOUND,CONSISTENT_NUMERICALLY
run1,BHIGH,KPS,D1,.3000000000000000E-05,-1,BRANCH_8,BRANCH_8,.2436157445262687E-04,.2436157445678995E-04,.2518436776131059E-13,.1033774225306333E-08,.1625029659988765E-13,.9655766025461370E-09,1.000000000000000,1,1,1,1,0,-1.95839018566046102e-01,ACTIVE_BOUND,CONSISTENT_NUMERICALLY
run1,BHIGH,KPS,D1,.1000000000000000E-05,-1,BRANCH_8,BRANCH_8,.2436157455064689E-04,.2436157445678995E-04,.1777132368466298E-12,.7294817355798165E-08,.1585707883359697E-12,.9422119905526326E-08,1.000000000000000,1,1,1,1,0,-1.77855988622148242e+00,ACTIVE_BOUND,CONSISTENT_NUMERICALLY
run1,BHIGH,KPS,D1,.3000000000000000E-06,-1,BRANCH_8,BRANCH_8,.2436157439091383E-04,.2436157445678995E-04,.2441384224224366E-12,.1002145501127048E-07,.1797395791027661E-12,.1067994858225058E-07,.9999999999999998,1,1,1,1,0,-2.63763555179596265e-01,ACTIVE_BOUND,CONSISTENT_NUMERICALLY
