state_id,direction_id,i5_original_classification,i5_original_best_relative_l2,analytic_oracle_relative_l2,high_precision_best_relative_l2,active_set_stable,value_parity,high_precision_class,supplemental_classification,original_i5_record_preserved
FINAL_CLIP_LOW,M1,INCONCLUSIVE,5.02854987766851189E-05,.2581188201335457E-15,4.33523219878847512E-11,1,PASS_EXACT,CONSISTENT_WITH_ACTIVE_SET_ORACLE,FD64_RESOLUTION_LIMITED_ACTIVE_SET_ORACLE_CONSISTENT,1
FINAL_CLIP_LOW,M2,INCONCLUSIVE,1.52192591442967598E-05,.8743882270261325E-16,9.82004682648093777E-12,1,PASS_EXACT,CONSISTENT_WITH_ACTIVE_SET_ORACLE,FD64_RESOLUTION_LIMITED_ACTIVE_SET_ORACLE_CONSISTENT,1
FINAL_CLIP_LOW,M3,INCONCLUSIVE,1.76650333514179487E-05,.2800834503063843E-15,9.32716635909342756E-16,1,PASS_EXACT,CONSISTENT_WITH_ACTIVE_SET_ORACLE,FD64_RESOLUTION_LIMITED_ACTIVE_SET_ORACLE_CONSISTENT,1
