run_id,state_id,direction_id,h,norm_scaled_fd,norm_scaled_kv,absolute_error_scaled_l2,relative_error_scaled_l2,absolute_error_scaled_inf,relative_error_scaled_inf,cosine_similarity,branch_id_plus,branch_id_minus,finite,branch_crossed,strict_point_pass,roundoff_explained_point,max_error_to_roundoff_bound,series_classification,series_pass,series_explained
run2,BETA_MIN_NEG,M1,9.99999999999999955E-08,6.06365588009066259E-01,6.06365587719644439E-01,3.86572874657576763E-09,6.37524428005299130E-09,3.30622899540153812E-09,1.32499970227292195E-08,1.00000000000000000E+00,I3B_5,I3B_5,1,0,1,0,1.07505752339399407E+01,CONSISTENT_NUMERICALLY,1,0
run2,BETA_MIN_NEG,M1,2.99999999999999986E-07,6.06365587150036855E-01,6.06365587719644439E-01,1.30651633704934210E-09,2.15466768482484315E-09,9.57466170467229766E-10,3.83712802666409027E-09,1.00000000000000000E+00,I3B_5,I3B_5,1,0,1,0,9.19329197536323939E+00,CONSISTENT_NUMERICALLY,1,0
run2,BETA_MIN_NEG,M1,9.99999999999999955E-07,6.06365587974853848E-01,6.06365587719644439E-01,5.85496671020783318E-10,9.65583606049002867E-10,3.93072453871903121E-10,1.57527166502181208E-09,9.99999999999999889E-01,I3B_5,I3B_5,1,0,1,0,4.54430570585323679E+01,CONSISTENT_NUMERICALLY,1,0
run2,BETA_MIN_NEG,M1,3.00000000000000008E-06,6.06365587699688291E-01,6.06365587719644439E-01,2.18526773410411902E-10,3.60387821862095219E-10,1.24106531922498799E-10,4.97367600663588762E-10,9.99999999999999889E-01,I3B_5,I3B_5,1,0,1,0,2.29403773123029397E+00,CONSISTENT_NUMERICALLY,1,0
run2,BETA_MIN_NEG,M1,1.00000000000000008E-05,6.06365587703166842E-01,6.06365587719644439E-01,4.71798211936076830E-11,7.78075506742336200E-11,2.35838545483498116E-11,9.45143254722854019E-11,9.99999999999999889E-01,I3B_5,I3B_5,1,0,1,0,2.55071874107339731E+01,CONSISTENT_NUMERICALLY,1,0
run2,BETA_MIN_NEG,M1,3.00000000000000008E-05,6.06365587719189136E-01,6.06365587719644439E-01,1.47197683824905711E-11,2.42754019697046499E-11,6.21722636786096409E-12,2.49160693922146784E-11,1.00000000000000000E+00,I3B_5,I3B_5,1,0,1,0,1.23612919969998760E+01,CONSISTENT_NUMERICALLY,1,0
run2,BETA_MIN_NEG,M1,1.00000000000000005E-04,6.06365587754170932E-01,6.06365587719644439E-01,4.90440737366356375E-11,8.08820202318585180E-11,3.81879250443972815E-11,1.53041394016313099E-10,1.00000000000000000E+00,I3B_5,I3B_5,1,0,1,0,1.96026867396548340E+02,CONSISTENT_NUMERICALLY,1,0
run2,BETA_MIN_NEG,M1,2.99999999999999974E-04,6.06365588015073897E-01,6.06365587719644439E-01,4.29226682168605217E-10,7.07867812178574553E-10,3.35971001019785779E-10,1.34643268101755108E-09,9.99999999999999889E-01,I3B_5,I3B_5,1,0,1,0,5.17383514208402994E+03,CONSISTENT_NUMERICALLY,1,0
run2,BETA_MIN_NEG,M1,1.00000000000000002E-03,6.06365591002767323E-01,6.06365587719644439E-01,4.76908611829737961E-09,7.86503421213360860E-09,3.73289740784876838E-09,1.49599072519815085E-08,9.99999999999999889E-01,I3B_5,I3B_5,1,0,1,0,1.91617686565205862E+05,CONSISTENT_NUMERICALLY,1,0
run2,BETA_MIN_NEG,M1,3.00000000000000006E-03,6.06365617269566060E-01,6.06365587719644439E-01,4.29231192814251431E-08,7.07875216848636533E-08,3.35968879106030016E-08,1.34642404558412987E-07,9.99999999999998446E-01,I3B_5,I3B_5,1,0,1,0,5.17380246535917930E+06,CONSISTENT_NUMERICALLY,1,0
run2,BETA_MIN_NEG,M1,1.00000000000000002E-02,6.06365916052186704E-01,6.06365587719644439E-01,4.76923516419620341E-07,7.86527579789913593E-07,3.73298756795037381E-07,1.49602523193625802E-06,9.99999999999837241E-01,I3B_5,I3B_5,1,0,1,0,1.91622314692204118E+08,CONSISTENT_NUMERICALLY,1,0
run2,BETA_MIN_NEG,M2,9.99999999999999955E-08,1.55301475898102193E+00,1.55301476929079896E+00,1.12148976421875995E-08,7.22137217491434764E-09,5.62294738548629880E-09,1.03159065810937692E-08,1.00000000000000000E+00,I3B_5,I3B_5,1,0,1,0,1.19810867930282434E+01,CONSISTENT_NUMERICALLY,1,0
run2,BETA_MIN_NEG,M2,2.99999999999999986E-07,1.55301477009331790E+00,1.55301476929079896E+00,2.33154100380582812E-09,1.50129995458171305E-09,1.59523355636181898E-09,2.92662889805311784E-09,1.00000000000000000E+00,I3B_5,I3B_5,1,0,1,0,2.08776574225683369E+01,CONSISTENT_NUMERICALLY,1,0
run2,BETA_MIN_NEG,M2,9.99999999999999955E-07,1.55301476957100992E+00,1.55301476929079896E+00,5.34056097916658476E-10,3.43883463557903488E-10,2.33156716156201986E-10,4.27751272900293097E-10,9.99999999999999778E-01,I3B_5,I3B_5,1,0,1,0,2.18244909720662932E+01,CONSISTENT_NUMERICALLY,1,0
run2,BETA_MIN_NEG,M2,3.00000000000000008E-06,1.55301476935963989E+00,1.55301476929079896E+00,1.43097867954783813E-10,9.21419878149567519E-11,1.15718656878982503E-10,2.12298421443713606E-10,9.99999999999999667E-01,I3B_5,I3B_5,1,0,1,0,2.03242076749658587E+01,CONSISTENT_NUMERICALLY,1,0
run2,BETA_MIN_NEG,M2,1.00000000000000008E-05,1.55301476932298810E+00,1.55301476929079896E+00,4.00048078231727481E-11,2.57594509810181596E-11,2.17680318215229785E-11,3.99358143196851123E-11,9.99999999999999778E-01,I3B_5,I3B_5,1,0,1,0,2.97263248673983682E+01,CONSISTENT_NUMERICALLY,1,0
run2,BETA_MIN_NEG,M2,3.00000000000000008E-05,1.55301476927251692E+00,1.55301476929079896E+00,2.68610311246864708E-11,1.72960564547321493E-11,1.56906154735736404E-11,2.87861351580566891E-11,1.00000000000000000E+00,I3B_5,I3B_5,1,0,1,0,2.35522279317876979E+01,CONSISTENT_NUMERICALLY,1,0
