run_id,state_id,block_id,direction_id,h,sigma,branch_id_plus,branch_id_minus,norm_fd,norm_kv,absolute_error_l2,relative_error_l2,absolute_error_inf,relative_error_inf,cosine_similarity,rhs_finite,amatrx_finite,candidate_svars_finite,replay_exact,branch_crossed,finite,branch_crossed_bool,residual_scale,null_candidate,scaled_norm_fd,scaled_norm_kv,scaled_absolute_error_l2,scaled_absolute_error_inf,roundoff_floor,strict_point_pass,roundoff_explained_point,observed_slope,series_classification,series_pass,series_explained
run1,BETA_MIN_NEG,KPP,D1,1.00000000000000002E-02,-1,I3B_5,I3B_5,4.16666666666670529E-02,4.16666666666666574E-02,4.49972690800075748E-16,1.07993445792017201E-14,3.12250225675825277E-16,1.49880108324393893E-14,1.00000000000000000E+00,1,1,1,1,0,1,0,1.00000000000000000E+00,0,4.16666666666670529E-02,4.16666666666666574E-02,4.49972690800075748E-16,3.12250225675825277E-16,5.36470098697347911E-17,1,0,,CONSISTENT_NUMERICALLY,1,0
run1,BETA_MIN_NEG,KPP,D1,3.00000000000000006E-03,-1,I3B_5,I3B_5,4.16666666666666990E-02,4.16666666666666574E-02,1.63248447482536196E-16,3.91796273958086535E-15,1.31838984174237290E-16,6.32827124036335363E-15,1.00000000000000000E+00,1,1,1,1,0,1,0,1.00000000000000000E+00,0,4.16666666666666990E-02,4.16666666666666574E-02,1.63248447482536196E-16,1.31838984174237290E-16,1.78823366232449299E-16,1,0,8.42139981998387244E-01,CONSISTENT_NUMERICALLY,1,0
run1,BETA_MIN_NEG,KPP,D1,1.00000000000000002E-03,-1,I3B_5,I3B_5,4.16666666666684893E-02,4.16666666666666574E-02,2.22444856885759407E-15,5.33867656525799289E-14,1.82839854367955507E-15,8.77631300966109379E-14,9.99999999999999889E-01,1,1,1,1,0,1,0,1.00000000000000000E+00,0,4.16666666666684893E-02,4.16666666666666574E-02,2.22444856885759407E-15,1.82839854367955507E-15,5.36470098697347874E-16,1,0,-2.37753673298097601E+00,CONSISTENT_NUMERICALLY,1,0
run1,BETA_MIN_NEG,KPP,D1,2.99999999999999974E-04,-1,I3B_5,I3B_5,4.16666666666670529E-02,4.16666666666666574E-02,6.64251872604899621E-16,1.59420449425174387E-14,6.03683769639928869E-16,2.89768209427157527E-14,1.00000000000000000E+00,1,1,1,1,0,1,0,1.00000000000000000E+00,0,4.16666666666670529E-02,4.16666666666666574E-02,6.64251872604899621E-16,6.03683769639928869E-16,1.78823366232449304E-15,1,0,1.00384570279147467E+00,CONSISTENT_NUMERICALLY,1,0
run1,BETA_MIN_NEG,KPP,D1,1.00000000000000005E-04,-1,I3B_5,I3B_5,4.16666666666664076E-02,4.16666666666666574E-02,2.71281097786018101E-14,6.51074634686443619E-13,2.07230066440189407E-14,9.94704318912138569E-13,1.00000000000000000E+00,1,1,1,1,0,1,0,1.00000000000000000E+00,0,4.16666666666664076E-02,4.16666666666666574E-02,2.71281097786018101E-14,2.07230066440189407E-14,5.36470098697347874E-15,1,0,-3.37668198780287421E+00,CONSISTENT_NUMERICALLY,1,0
run1,BETA_MIN_NEG,KPP,D1,3.00000000000000008E-05,-1,I3B_5,I3B_5,4.16666666666053384E-02,4.16666666666666574E-02,9.49759264763904921E-14,2.27942223543337292E-12,9.11944131321007490E-14,4.37733183034083676E-12,1.00000000000000000E+00,1,1,1,1,0,1,0,1.00000000000000000E+00,0,4.16666666666053384E-02,4.16666666666666574E-02,9.49759264763904921E-14,9.11944131321007490E-14,1.78823366232449296E-14,1,0,-1.04076520496891045E+00,CONSISTENT_NUMERICALLY,1,0
run1,BETA_MIN_NEG,KPP,D1,1.00000000000000008E-05,-1,I3B_5,I3B_5,4.16666666670602523E-02,4.16666666666666574E-02,4.19897446963773280E-13,1.00775387270353708E-11,2.93695623376777298E-13,1.40973899218865793E-11,9.99999999999999889E-01,1,1,1,1,0,1,0,1.00000000000000000E+00,0,4.16666666670602523E-02,4.16666666666666574E-02,4.19897446963773280E-13,2.93695623376777298E-13,5.36470098697347858E-14,1,0,-1.35296780211937695E+00,CONSISTENT_NUMERICALLY,1,0
run1,BETA_MIN_NEG,KPP,D1,3.00000000000000008E-06,-1,I3B_5,I3B_5,4.16666666672865782E-02,4.16666666666666574E-02,9.89892027319552665E-13,2.37574086553158010E-11,9.60481694178838552E-13,4.61031213184587582E-11,9.99999999999999889E-01,1,1,1,1,0,1,0,1.00000000000000000E+00,0,4.16666666672865782E-02,4.16666666666666574E-02,9.89892027319552665E-13,9.60481694178838552E-13,1.78823366232449290E-13,1,0,-7.12296293748579057E-01,CONSISTENT_NUMERICALLY,1,0
run1,BETA_MIN_NEG,KPP,D1,9.99999999999999955E-07,-1,I3B_5,I3B_5,4.16666666687231374E-02,4.16666666666666574E-02,4.10204481074273931E-12,9.84490754529667489E-11,3.45414669089549915E-12,1.65799041135494712E-10,1.00000000000000000E+00,1,1,1,1,0,1,0,1.00000000000000000E+00,0,4.16666666687231374E-02,4.16666666666666574E-02,4.10204481074273931E-12,3.45414669089549915E-12,5.36470098697347946E-13,1,0,-1.29403703513556034E+00,CONSISTENT_NUMERICALLY,1,0
run1,BETA_MIN_NEG,KPP,D1,2.99999999999999986E-07,-1,I3B_5,I3B_5,4.16666666602302296E-02,4.16666666666666574E-02,1.33827181868052401E-11,3.21185236483325891E-10,1.13271406143589104E-11,5.43702749395781209E-10,1.00000000000000000E+00,1,1,1,1,0,1,0,1.00000000000000000E+00,0,4.16666666602302296E-02,4.16666666666666574E-02,1.33827181868052401E-11,1.13271406143589104E-11,1.78823366232449315E-12,1,0,-9.82147270380037352E-01,CONSISTENT_NUMERICALLY,1,0
run1,BETA_MIN_NEG,KPP,D1,9.99999999999999955E-08,-1,I3B_5,I3B_5,4.16666666481233031E-02,4.16666666666666574E-02,2.45941207094297199E-11,5.90258897026313458E-10,2.31630166436236416E-11,1.11182479889393490E-09,1.00000000000000000E+00,1,1,1,1,0,1,0,1.00000000000000000E+00,0,4.16666666481233031E-02,4.16666666666666574E-02,2.45941207094297199E-11,2.31630166436236416E-11,5.36470098697347906E-12,1,0,-5.53919920664787457E-01,CONSISTENT_NUMERICALLY,1,0
run1,BETA_MIN_NEG,KPP,D2,1.00000000000000002E-02,-1,I3B_5,I3B_5,2.32829872094276087E-02,2.32829872094275116E-02,9.90312899475937202E-17,4.25337561099095416E-15,6.07153216591882483E-17,5.21542370083884311E-15,1.00000000000000000E+00,1,1,1,1,0,1,0,1.00000000000000000E+00,0,2.32829872094276087E-02,2.32829872094275116E-02,9.90312899475937202E-17,6.07153216591882483E-17,5.36470098697347911E-17,1,0,,CONSISTENT_NUMERICALLY,1,0
run1,BETA_MIN_NEG,KPP,D2,3.00000000000000006E-03,-1,I3B_5,I3B_5,2.32829872094269183E-02,2.32829872094275116E-02,6.50701689722714400E-16,2.79475173812421710E-14,4.75314232417645144E-16,4.08293169722814515E-14,1.00000000000000000E+00,1,1,1,1,0,1,0,1.00000000000000000E+00,0,2.32829872094269183E-02,2.32829872094275116E-02,6.50701689722714400E-16,4.75314232417645144E-16,1.78823366232449299E-16,1,0,-1.56366940867375503E+00,CONSISTENT_NUMERICALLY,1,0
run1,BETA_MIN_NEG,KPP,D2,1.00000000000000002E-03,-1,I3B_5,I3B_5,2.32829872094278204E-02,2.32829872094275116E-02,3.15325778125963603E-15,1.35431839260849203E-13,2.28116137090950093E-15,1.95950919045768706E-13,1.00000000000000000E+00,1,1,1,1,0,1,0,1.00000000000000000E+00,0,2.32829872094278204E-02,2.32829872094275116E-02,3.15325778125963603E-15,2.28116137090950093E-15,5.36470098697347874E-16,1,0,-1.43648503358556079E+00,CONSISTENT_NUMERICALLY,1,0
run1,BETA_MIN_NEG,KPP,D2,2.99999999999999974E-04,-1,I3B_5,I3B_5,2.32829872094305508E-02,2.32829872094275116E-02,3.06083096796796482E-15,1.31462124702289188E-13,1.74860126378462195E-15,1.50204202584136904E-13,1.00000000000000000E+00,1,1,1,1,0,1,0,1.00000000000000000E+00,0,2.32829872094305508E-02,2.32829872094275116E-02,3.06083096796796482E-15,1.74860126378462195E-15,1.78823366232449304E-15,1,0,2.47096091472782421E-02,CONSISTENT_NUMERICALLY,1,0
run1,BETA_MIN_NEG,KPP,D2,1.00000000000000005E-04,-1,I3B_5,I3B_5,2.32829872094523285E-02,2.32829872094275116E-02,3.85837075027337403E-14,1.65716311037054908E-12,2.27092650240123785E-14,1.95071747621567010E-12,1.00000000000000000E+00,1,1,1,1,0,1,0,1.00000000000000000E+00,0,2.32829872094523285E-02,2.32829872094275116E-02,3.85837075027337403E-14,2.27092650240123785E-14,5.36470098697347874E-15,1,0,-2.30667696950581913E+00,CONSISTENT_NUMERICALLY,1,0
