arithmetic,benchmark,metric,ols_slope,ols_r2,adjacent_slopes,adjacent_in_band,gate_pass
binary64,N1,root_error,0.37358006190685467,0.05821815869349134,0.6273630276821025|0.3347824717788488|-0.28385687422331957|-6.154260196080966|10.344796909190999|3.734680026627209,0,0
binary64,N1,scaled_residual,1.0177975437835272,0.3154047586367552,1.8367891129461615|1.5057548355466428|0.594419681481939|-6.409331012396076|11.52789734844417|3.6719176581544453,1,0
binary64,N2,root_error,0.31796744660168486,0.45645413361071263,1.119230254992302|0.9537277555429525|0.6827797038289993|0.1749784853014874|-0.9304778158121388|-0.5475596837735717,0,0
binary64,N2,scaled_residual,1.0971533894895846,0.8308016153097875,1.981851448906085|1.9253947156703028|1.6751871850001443|0.9989243408559932|-0.36785161974726804|-0.5618103293054452,2,0
binary128,N1,root_error,0.37358006189966836,0.05821815869149838,0.6273630276828915|0.3347824717724849|-0.2838568742206982|-6.154260196098502|10.344796909188698|3.734680026602302,0,0
binary128,N1,scaled_residual,1.017797543782724,0.3154047586351624,1.836789112948532|1.5057548355390658|0.5944196814778074|-6.409331012408681|11.527897348454541|3.671917658182196,1,0
binary128,N2,root_error,0.31796744662652876,0.45645413367586174,1.1192302549940465|0.9537277555454758|0.6827797038425443|0.174978485279824|-0.9304778156964756|-0.5475596836748696,0,0
binary128,N2,scaled_residual,1.097153389515886,0.8308016153267889,1.981851448910307|1.9253947156675804|1.6751871850083235|0.9989243408491795|-0.3678516195825758|-0.5618103292593698,2,0
