benchmark,iteration,residual,residual_order,root_error,root_error_order,quadratic_constant,above_binary128_floor,q_at_least_1p8,branch_id,finite
N1,2,0.000266497699757099356368120775718396,0.74237498905312474416662507884451122727537170553671600690042438708812380276326970,0.100157714730775717625500717024129,53.546340364294499754613456823231953532008518558820120561072992530078305671787509,3.3455743736567331420539496667457653717461867442351333901234366995093946748269018,1,0,0,1
N1,3,0.00000312438603294855798814982178724960,1.2662509554202781192023215073540014696144200513646904694127526237050700840946634,0.00241505896624074914168287534933893,1.8847353160096300845459668362872386986648345041666805702304192869757144155721954,43.992410388395290366723875491922576049979008500105672902181519499750877196097951,1,0,0,1
N1,4,1.82379190719779449835883082361494E-9,1.6747326166302650395625919152500200089874223024287050819380240452217330568953169,0.00000146515950948334357811483506898212,1.9885826433421812831561500556478034686540286819688291678591434898783503468394194,186.82969674332168877291872027364652749794422763049518700298904984024720283545368,1,0,0,1
N1,5,6.29917403144738917645160981454712E-16,1.9981794950339713574234508919496727578976106307095391678534070034916083181096637,4.99330843495938943892092649360681E-13,2.0103855793165499595204174906397413718762494944725957688861913323704930540802951,189.37953180779879286001180386541892378330289657730373549162566331005805608809184,1,1,0,1
N1,6,7.32688839567255880051116215531036E-29,2.0016993500851760348632377176915281242987643178338757450469004924376338829241442,5.79771791172949785939101875578993E-26,2.0000213810766277988905982808100489667565593025201572170183053645589612942645165,184.65129688512899547402195095828498228692001599087143934098375049446731232106537,0,0,0,1
N2,2,0.000359098209830533902216395595521438,0.34778912688153967128524705368781561200091251559820805437782760213057742714567577,0.510730101274255852661542077999426,0.96961943866622688681128947842990280244677053394330966641557795325719263708231906,38.005784667767615264021458295362632148077281981837543130698212489056158915781940,1,0,0,1
N2,3,0.0000516483382578586262733651803018575,0.90314778629468570547347664451907238637835105753252699957305995279949214313195318,0.0999331037823833574974832479540735,4.9318728582913679226340954452159616246747382217959948835629495324547330142744591,400.52522478370679438911863248563711930292266773577929304490665538706705899985521,1,0,0,1
N2,4,0.00000273119276358522207721981665730852,1.5159930643800738855843787218975751705465087607373268048492792669299129744742993,0.00553227590757682342027092906585497,1.7739411943456154858326333481102759332279270323112831226766838546363038352023639,1023.8578090877416618850017920343906263430142116070212204339986997741469459054610,1,0,0,1
N2,5,9.30880939322856029426198110823906E-9,1.9326783776257950798023859677809337254471342968851306857789902798919093584933182,0.0000188874672228765566359946325364344,1.9626983008795884383642204467175416127703600234334209762777727280452327595327067,1247.9277196869025672320683130252004482985630484570636353697928199918369270228947,1,1,0,1
N2,6,1.09252641609355191645509625755090E-13,1.9981948065881530343897813235846302416824876706630418838599399935424319251396373,2.21638184972293006107744809924674E-10,1.9988117563069778641671260144549499369330731981192255718103148418542822579163687,1260.7926574708926099864671983448828467912338614346033607831251022240405840961364,1,1,0,1
N2,7,1.50445502483150130497605754084954E-23,2.0000260330196596779984087064453250094230247311050596625512488057669939478208981,3.05199389703872468577586822756732E-20,2.0000005368201599204828826548659602589221609359382844534798036366845841022940660,1260.4200879159958264718180436285918349473457749267910585102236954712763891461994,1,1,0,1
N2,8,7.71112025261786997915514171494646E-34,1.0435256769633991900442952606033862648735660137215193254468872376514589467502961,1.81341255525123957717730246986586E-31,1.1384258883415520083136278577152916293082304256128110799899031313368804187374987,3406897421003.9812245784304134699033806950937776424761336698353056715640035375098,0,0,0,1
