run_id,state_id,direction_id,h,norm_scaled_fd,norm_scaled_oracle,norm_scaled_jphys,absolute_error_fd_oracle_l2,relative_error_fd_oracle_l2,absolute_error_fd_jphys_l2,relative_error_fd_jphys_l2,absolute_error_fd_oracle_inf,cosine_fd_oracle,cosine_fd_jphys,branch_id_plus,branch_id_minus,finite,h_pass
run1,FINAL_CLIP_LOW,M1,1.00000000000000002E-02,6.53173757862448356E-01,6.53173757883793726E-01,6.53173757883793726E-01,2.83165990658149035E-11,4.33523219878847512E-11,2.83166823325978920E-11,4.33524494681792145E-11,1.41583134105616182E-11,1.00000000000000000E+00,1.00000000000000022E+00,39,39,1,1
run1,FINAL_CLIP_LOW,M1,3.00000000000000006E-03,6.53173757862448356E-01,6.53173757883793726E-01,6.53173757883793726E-01,2.83165990658149035E-11,4.33523219878847512E-11,2.83166823325978920E-11,4.33524494681792145E-11,1.41583134105616182E-11,1.00000000000000000E+00,1.00000000000000022E+00,39,39,1,1
run1,FINAL_CLIP_LOW,M1,1.00000000000000002E-03,6.53173757862448356E-01,6.53173757883793726E-01,6.53173757883793726E-01,2.83165990658149035E-11,4.33523219878847512E-11,2.83166823325978920E-11,4.33524494681792145E-11,1.41583134105616182E-11,1.00000000000000000E+00,1.00000000000000022E+00,39,39,1,1
run1,FINAL_CLIP_LOW,M1,2.99999999999999974E-04,6.53173757862448356E-01,6.53173757883793726E-01,6.53173757883793726E-01,2.83165990658149035E-11,4.33523219878847512E-11,2.83166823325978920E-11,4.33524494681792145E-11,1.41583134105616182E-11,1.00000000000000000E+00,1.00000000000000022E+00,39,39,1,1
run1,FINAL_CLIP_LOW,M1,1.00000000000000005E-04,6.53173757862448356E-01,6.53173757883793726E-01,6.53173757883793726E-01,2.83165990658149035E-11,4.33523219878847512E-11,2.83166823325978920E-11,4.33524494681792145E-11,1.41583134105616182E-11,1.00000000000000000E+00,1.00000000000000022E+00,39,39,1,1
run1,FINAL_CLIP_LOW,M1,3.00000000000000008E-05,6.53173757862448356E-01,6.53173757883793726E-01,6.53173757883793726E-01,2.83165990658149035E-11,4.33523219878847512E-11,2.83166823325978920E-11,4.33524494681792145E-11,1.41583134105616182E-11,1.00000000000000000E+00,1.00000000000000022E+00,39,39,1,1
run1,FINAL_CLIP_LOW,M1,1.00000000000000008E-05,6.53173757862448356E-01,6.53173757883793726E-01,6.53173757883793726E-01,2.83165990658149035E-11,4.33523219878847512E-11,2.83166823325978920E-11,4.33524494681792145E-11,1.41583134105616182E-11,1.00000000000000000E+00,1.00000000000000022E+00,39,39,1,1
run1,FINAL_CLIP_LOW,M1,3.00000000000000008E-06,6.53173757862448356E-01,6.53173757883793726E-01,6.53173757883793726E-01,2.83165990658149035E-11,4.33523219878847512E-11,2.83166823325978920E-11,4.33524494681792145E-11,1.41583134105616182E-11,1.00000000000000000E+00,1.00000000000000022E+00,39,39,1,1
run1,FINAL_CLIP_LOW,M1,9.99999999999999955E-07,6.53173757862448356E-01,6.53173757883793726E-01,6.53173757883793726E-01,2.83165990658149035E-11,4.33523219878847512E-11,2.83166823325978920E-11,4.33524494681792145E-11,1.41583134105616182E-11,1.00000000000000000E+00,1.00000000000000022E+00,39,39,1,1
run1,FINAL_CLIP_LOW,M1,2.99999999999999986E-07,6.53173757862448356E-01,6.53173757883793726E-01,6.53173757883793726E-01,2.83165990658149035E-11,4.33523219878847512E-11,2.83166823325978920E-11,4.33524494681792145E-11,1.41583134105616182E-11,1.00000000000000000E+00,1.00000000000000022E+00,39,39,1,1
run1,FINAL_CLIP_LOW,M1,9.99999999999999955E-08,6.53173757862448356E-01,6.53173757883793726E-01,6.53173757883793726E-01,2.83165990658149035E-11,4.33523219878847512E-11,2.83166823325978920E-11,4.33524494681792145E-11,1.41583134105616182E-11,1.00000000000000000E+00,1.00000000000000022E+00,39,39,1,1
run1,FINAL_CLIP_LOW,M2,1.00000000000000002E-02,1.48940033265958705E+00,1.48940033266208438E+00,1.48940033266208438E+00,1.46259810101179557E-11,9.82004682648093777E-12,1.46259838083049681E-11,9.82004870521491696E-12,1.05517816706424128E-11,9.99999999999999778E-01,9.99999999999999778E-01,39,39,1,1
run1,FINAL_CLIP_LOW,M2,3.00000000000000006E-03,1.48940033265958705E+00,1.48940033266208438E+00,1.48940033266208438E+00,1.46259810101179557E-11,9.82004682648093777E-12,1.46259838083049681E-11,9.82004870521491696E-12,1.05517816706424128E-11,9.99999999999999778E-01,9.99999999999999778E-01,39,39,1,1
run1,FINAL_CLIP_LOW,M2,1.00000000000000002E-03,1.48940033265958705E+00,1.48940033266208438E+00,1.48940033266208438E+00,1.46259810101179557E-11,9.82004682648093777E-12,1.46259838083049681E-11,9.82004870521491696E-12,1.05517816706424128E-11,9.99999999999999778E-01,9.99999999999999778E-01,39,39,1,1
run1,FINAL_CLIP_LOW,M2,2.99999999999999974E-04,1.48940033265958705E+00,1.48940033266208438E+00,1.48940033266208438E+00,1.46259810101179557E-11,9.82004682648093777E-12,1.46259838083049681E-11,9.82004870521491696E-12,1.05517816706424128E-11,9.99999999999999778E-01,9.99999999999999778E-01,39,39,1,1
run1,FINAL_CLIP_LOW,M2,1.00000000000000005E-04,1.48940033265958705E+00,1.48940033266208438E+00,1.48940033266208438E+00,1.46259810101179557E-11,9.82004682648093777E-12,1.46259838083049681E-11,9.82004870521491696E-12,1.05517816706424128E-11,9.99999999999999778E-01,9.99999999999999778E-01,39,39,1,1
run1,FINAL_CLIP_LOW,M2,3.00000000000000008E-05,1.48940033265958705E+00,1.48940033266208438E+00,1.48940033266208438E+00,1.46259810101179557E-11,9.82004682648093777E-12,1.46259838083049681E-11,9.82004870521491696E-12,1.05517816706424128E-11,9.99999999999999778E-01,9.99999999999999778E-01,39,39,1,1
run1,FINAL_CLIP_LOW,M2,1.00000000000000008E-05,1.48940033265958705E+00,1.48940033266208438E+00,1.48940033266208438E+00,1.46259810101179557E-11,9.82004682648093777E-12,1.46259838083049681E-11,9.82004870521491696E-12,1.05517816706424128E-11,9.99999999999999778E-01,9.99999999999999778E-01,39,39,1,1
run1,FINAL_CLIP_LOW,M2,3.00000000000000008E-06,1.48940033265958705E+00,1.48940033266208438E+00,1.48940033266208438E+00,1.46259810101179557E-11,9.82004682648093777E-12,1.46259838083049681E-11,9.82004870521491696E-12,1.05517816706424128E-11,9.99999999999999778E-01,9.99999999999999778E-01,39,39,1,1
run1,FINAL_CLIP_LOW,M2,9.99999999999999955E-07,1.48940033265958705E+00,1.48940033266208438E+00,1.48940033266208438E+00,1.46259810101179557E-11,9.82004682648093777E-12,1.46259838083049681E-11,9.82004870521491696E-12,1.05517816706424128E-11,9.99999999999999778E-01,9.99999999999999778E-01,39,39,1,1
run1,FINAL_CLIP_LOW,M2,2.99999999999999986E-07,1.48940033265958705E+00,1.48940033266208438E+00,1.48940033266208438E+00,1.46259810101179557E-11,9.82004682648093777E-12,1.46259838083049681E-11,9.82004870521491696E-12,1.05517816706424128E-11,9.99999999999999778E-01,9.99999999999999778E-01,39,39,1,1
run1,FINAL_CLIP_LOW,M2,9.99999999999999955E-08,1.48940033265958705E+00,1.48940033266208438E+00,1.48940033266208438E+00,1.46259810101179557E-11,9.82004682648093777E-12,1.46259838083049681E-11,9.82004870521491696E-12,1.05517816706424128E-11,9.99999999999999778E-01,9.99999999999999778E-01,39,39,1,1
run1,FINAL_CLIP_LOW,M3,1.00000000000000002E-02,1.64108408659145200E+00,1.64108408659145111E+00,1.64108408659145200E+00,1.53066642848993557E-15,9.32716635909342756E-16,1.36862067155976341E-15,8.33973519542439847E-16,7.35976763473894513E-16,1.00000000000000000E+00,9.99999999999999889E-01,39,39,1,1
run1,FINAL_CLIP_LOW,M3,3.00000000000000006E-03,1.64108408659145200E+00,1.64108408659145111E+00,1.64108408659145200E+00,2.12367487808708721E-15,1.29406829024707760E-15,2.02737471140607395E-15,1.23538746610903490E-15,1.39823455548235276E-15,1.00000000000000000E+00,9.99999999999999889E-01,39,39,1,1
