state_id,direction_id,h,norm_fd,norm_kpp_raw_d,absolute_error_l2,relative_error_l2,absolute_error_inf,cosine_similarity,observed_slope,branch_crossed,finite,classification
BETA_MIN_NEG,D1,9.99999999999999955E-08,4.16666666481233031E-02,4.16766666666666466E-02,1.00000185433617898E-05,2.39942858754581999E-04,5.00002316301470517E-06,1.00000000000000000E+00,-0.5539199206647875,0,1,APPROXIMATE_BOUNDED_BY_JNUM
BETA_MIN_NEG,D1,2.99999999999999986E-07,4.16666666602302296E-02,4.16766666666666466E-02,1.00000064364290493E-05,2.39942568257915401E-04,5.00001132713867591E-06,1.00000000000000000E+00,-0.9821472703800374,0,1,APPROXIMATE_BOUNDED_BY_JNUM
BETA_MIN_NEG,D1,9.99999999999999955E-07,4.16666666687231374E-02,4.16766666666666466E-02,9.99999794350809338E-06,2.39942364476719897E-04,5.00000104529038562E-06,1.00000000000000000E+00,-1.2940370351355603,0,1,APPROXIMATE_BOUNDED_BY_JNUM
BETA_MIN_NEG,D1,3.00000000000000008E-06,4.16666666672865782E-02,4.16766666666666466E-02,9.99999938007363580E-06,2.39942398946020304E-04,4.99999997915709371E-06,1.00000000000000000E+00,-0.7122962937485791,0,1,APPROXIMATE_BOUNDED_BY_JNUM
BETA_MIN_NEG,D1,1.00000000000000008E-05,4.16666666670602523E-02,4.16766666666666466E-02,9.99999960640471364E-06,2.39942404376662812E-04,4.99999989874919115E-06,1.00000000000000000E+00,-1.352967802119377,0,1,APPROXIMATE_BOUNDED_BY_JNUM
BETA_MIN_NEG,D1,3.00000000000000008E-05,4.16666666666053384E-02,4.16766666666666466E-02,1.00000000613151302E-05,2.39942415291893093E-04,5.00000009119247468E-06,1.00000000000000000E+00,-1.0407652049689105,0,1,APPROXIMATE_BOUNDED_BY_JNUM
BETA_MIN_NEG,D1,1.00000000000000005E-04,4.16666666666664076E-02,4.16766666666666466E-02,1.00000000002407208E-05,2.39942413826459009E-04,5.00000002072106819E-06,1.00000000000000000E+00,-3.376681987802874,0,1,APPROXIMATE_BOUNDED_BY_JNUM
BETA_MIN_NEG,D1,2.99999999999999974E-04,4.16666666666670529E-02,4.16766666666666466E-02,9.99999999960060615E-06,2.39942413811100011E-04,5.00000000011602275E-06,9.99999999999999889E-01,1.0038457027914747,0,1,APPROXIMATE_BOUNDED_BY_JNUM
BETA_MIN_NEG,D1,1.00000000000000002E-03,4.16666666666684893E-02,4.16766666666666466E-02,9.99999999816772456E-06,2.39942413776719093E-04,4.99999999971356690E-06,9.99999999999999889E-01,-2.377536732980976,0,1,APPROXIMATE_BOUNDED_BY_JNUM
BETA_MIN_NEG,D1,3.00000000000000006E-03,4.16666666666666990E-02,4.16766666666666466E-02,9.99999999995448974E-06,2.39942413819591103E-04,5.00000000008479772E-06,1.00000000000000000E+00,0.8421399819983872,0,1,APPROXIMATE_BOUNDED_BY_JNUM
BETA_MIN_NEG,D1,1.00000000000000002E-02,4.16666666666670529E-02,4.16766666666666466E-02,9.99999999960581032E-06,2.39942413811224803E-04,4.99999999991479482E-06,1.00000000000000000E+00,,0,1,APPROXIMATE_BOUNDED_BY_JNUM
BETA_MIN_NEG,D2,9.99999999999999955E-08,2.32829872196590112E-02,2.32929872094275008E-02,9.99998976870331699E-06,4.29313324168913895E-04,5.00004130165460081E-06,1.00000000000000000E+00,-1.5737820655566575,0,1,APPROXIMATE_BOUNDED_BY_JNUM
BETA_MIN_NEG,D2,2.99999999999999986E-07,2.32829872028538706E-02,2.32929872094275008E-02,1.00000065736345903E-05,4.29314045627742717E-04,5.00001058259189142E-06,1.00000000000000000E+00,-1.160925049069092,0,1,APPROXIMATE_BOUNDED_BY_JNUM
BETA_MIN_NEG,D2,9.99999999999999955E-07,2.32829872091422502E-02,2.32929872094275008E-02,1.00000002852596605E-05,4.29313775659151994E-04,5.00000237879660858E-06,9.99999999999999778E-01,-0.582428431884514,0,1,APPROXIMATE_BOUNDED_BY_JNUM
BETA_MIN_NEG,D2,3.00000000000000008E-06,2.32829872102625901E-02,2.32929872094275008E-02,9.99999916491940165E-06,4.29313727561402903E-04,5.00000002969305801E-06,1.00000000000000000E+00,-2.0936004186836406,0,1,APPROXIMATE_BOUNDED_BY_JNUM
BETA_MIN_NEG,D2,1.00000000000000008E-05,2.32829872095149312E-02,2.32929872094275008E-02,9.99999991256779464E-06,4.29313759658977393E-04,4.99999999626320191E-06,1.00000000000000000E+00,0.13316849286091298,0,1,APPROXIMATE_BOUNDED_BY_JNUM
BETA_MIN_NEG,D2,3.00000000000000008E-05,2.32829872093184287E-02,2.32929872094275008E-02,1.00000001090772700E-05,4.29313768095399581E-04,5.00000011281406809E-06,1.00000000000000000E+00,-1.068397592192281,0,1,APPROXIMATE_BOUNDED_BY_JNUM
BETA_MIN_NEG,D2,1.00000000000000005E-04,2.32829872094523285E-02,2.32929872094275008E-02,9.99999997517830169E-06,4.29313762346932720E-04,5.00000001306746822E-06,9.99999999999999778E-01,-2.306676969505819,0,1,APPROXIMATE_BOUNDED_BY_JNUM
BETA_MIN_NEG,D2,2.99999999999999974E-04,2.32829872094305508E-02,2.32929872094275008E-02,9.99999999694994868E-06,4.29313763281619510E-04,4.99999999861028277E-06,9.99999999999999778E-01,0.024709609147278242,0,1,APPROXIMATE_BOUNDED_BY_JNUM
BETA_MIN_NEG,D2,1.00000000000000002E-03,2.32829872094278204E-02,2.32929872094275008E-02,9.99999999968040343E-06,4.29313763398841606E-04,5.00000000227922292E-06,1.00000000000000000E+00,-1.4364850335855608,0,1,APPROXIMATE_BOUNDED_BY_JNUM
BETA_MIN_NEG,D2,3.00000000000000006E-03,2.32829872094269183E-02,2.32929872094275008E-02,1.00000000005850600E-05,4.29313763437679788E-04,5.00000000047337578E-06,1.00000000000000000E+00,-1.563669408673755,0,1,APPROXIMATE_BOUNDED_BY_JNUM
BETA_MIN_NEG,D2,1.00000000000000002E-02,2.32829872094276087E-02,2.32929872094275008E-02,9.99999999989811122E-06,4.29313763408188079E-04,4.99999999995469262E-06,1.00000000000000000E+00,,0,1,APPROXIMATE_BOUNDED_BY_JNUM
BETA_MIN_NEG,D3,9.99999999999999955E-08,4.01924343030504103E-02,4.02023377625335479E-02,9.99997691232757313E-06,2.48741179465613617E-04,7.55745360205006822E-06,9.99999999405559836E-01,-0.9205303570011127,0,1,APPROXIMATE_BOUNDED_BY_JNUM
BETA_MIN_NEG,D3,2.99999999999999986E-07,4.01924342912265628E-02,4.02023377625335479E-02,9.99999621592808331E-06,2.48741659626758077E-04,7.55747108481183427E-06,9.99999999405512874E-01,-1.964915611983214,0,1,APPROXIMATE_BOUNDED_BY_JNUM
